trade_id,interval,segment_id,engine,side,entry_ts,exit_ts,exit_reason,hold_sec,entry_oz,pnl_inr,mfe_usd,mae_usd
500ms-s0-t55,500ms,0,PRIMARY,SELL,1789648231.488,1789648621.497,emergency_stop,390.0090000629425,0.07540555722875504,-29.659692433476614,0.0,-4.109999999999673
500ms-s0-t56,500ms,0,PRIMARY,BUY,1789653260.3270001,1789654160.4550002,max_hold,900.1280000209808,0.07308118092717886,58.53996820121501,10.229999999999563,-1.3800000000001091
500ms-s0-t57,500ms,0,BURST,BUY,1789654187.951,1789654262.9529998,momentum_zero_cross,75.0019998550415,0.07766885205988246,2.8245674537544407,3.889999999999418,-1.1400000000003274
500ms-s0-t58,500ms,0,MICRO,SELL,1789654359.42,1789654388.461,momentum_zero_cross,29.04099988937378,0.07789020828825317,-3.1307877311023007,0.09000000000014552,-0.819999999999709
500ms-s0-t59,500ms,0,PRIMARY,SELL,1789655867.452,1789656007.483,momentum_zero_cross,140.0310001373291,0.07764485413214514,-7.876622130314581,0.42000000000007276,-1.6899999999995998
500ms-s0-t60,500ms,0,PRIMARY,BUY,1789656821.38,1789657721.4380002,max_hold,900.058000087738,0.07702757754179489,71.43178199873773,14.0,-0.21000000000003638
500ms-s0-t61,500ms,0,SECONDARY,BUY,1789657766.486,1789658209.948,take_profit,443.4619998931885,0.0826255567396446,63.49673752803271,8.029999999999745,-1.9500000000007276
500ms-s0-t62,500ms,0,PRIMARY,BUY,1789658224.968,1789659125.299,max_hold,900.3310000896454,0.08760168089428953,96.49598213704928,21.48999999999978,-1.7800000000006548
500ms-s0-t63,500ms,0,MICRO,SELL,1789659163.1980002,1789659442.468,trail,279.26999974250793,0.09516389599748862,45.49138653225372,5.520000000000437,-2.6099999999996726
500ms-s0-t64,500ms,0,PRIMARY,BUY,1789659697.811,1789659739.4220002,emergency_stop,41.611000061035156,0.09872897345129478,-38.3611945659444,0.4899999999997817,-4.0600000000004
500ms-s0-t65,500ms,0,BURST,BUY,1789660114.463,1789660188.362,momentum_zero_cross,73.8989999294281,0.09572267620970255,16.031506979055006,2.889999999999418,-0.8000000000001819
500ms-s0-t66,500ms,0,MICRO,BUY,1789660200.981,1789660505.997,trail,305.0160000324249,0.0969790363349549,50.442764549612626,7.280000000000655,-0.23999999999978172
500ms-s0-t67,500ms,0,SECONDARY,SELL,1789660803.487,1789660845.472,momentum_zero_cross,41.984999895095825,0.10093214430355844,-36.126223945900286,2.2399999999997817,-3.7799999999997453
500ms-s0-t68,500ms,0,SECONDARY,SELL,1789661412.966,1789661741.483,emergency_stop,328.5169999599457,0.09810099765584378,-39.52546496346711,4.380000000000109,-4.210000000000036
500ms-s0-t69,500ms,0,PRIMARY,BUY,1789661749.9420002,1789662495.4540002,emergency_stop,745.5120000839233,0.0950034586548605,-37.18640474718262,5.920000000000073,-4.0900000000001455
500ms-s0-t70,500ms,0,SECONDARY,SELL,1789662996.479,1789663061.473,emergency_stop,64.99399995803833,0.09208922756062254,-35.869449132268336,0.0,-4.0700000000006185
500ms-s0-t71,500ms,0,PRIMARY,SELL,1789663504.984,1789663549.472,emergency_stop,44.48799991607666,0.08927820388933412,-34.43276973364849,0.0,-4.030000000000655
500ms-s0-t72,500ms,0,SECONDARY,BUY,1789663602.473,1789664765.407,take_profit,1162.9340000152588,0.08657977017677854,68.19267572686708,8.229999999999563,-0.660000000000764
500ms-s0-t73,500ms,0,PRIMARY,BUY,1789664819.497,1789665122.47,emergency_stop,302.97300004959106,0.09192390649093993,-37.65249061514033,4.0,-4.280000000000655
500ms-s0-t74,500ms,0,MICRO,SELL,1789665128.421,1789665431.976,momentum_zero_cross,303.5550000667572,0.08897314909258029,0.9366408932922451,1.7199999999993452,-3.0200000000004366
500ms-s0-t75,500ms,0,PRIMARY,SELL,1789666760.28,1789667660.3630002,max_hold,900.0830001831055,0.08904655194058145,52.665601674163895,6.470000000000255,-2.639999999999418
500ms-s0-t76,500ms,0,PRIMARY,SELL,1789668684.972,1789668791.965,momentum_zero_cross,106.99300003051758,0.09317385962302757,-22.738181779125437,0.8299999999999272,-2.75
500ms-s0-t77,500ms,0,PRIMARY,BUY,1789670449.961,1789670824.465,momentum_zero_cross,374.5039999485016,0.09139190955773707,1.836743510214275,2.3700000000008004,-1.2599999999993088
500ms-s0-t78,500ms,0,PRIMARY,BUY,1789671602.393,1789672502.4099998,max_hold,900.0169999599457,0.09153585181529052,-19.272381136825057,1.699999999999818,-3.630000000000109
500ms-s0-t79,500ms,0,PRIMARY,SELL,1789673571.864,1789674472.351,max_hold,900.4869999885559,0.09002551026033835,8.615630385485927,4.389999999999418,-0.22000000000025466
500ms-s0-t80,500ms,0,PRIMARY,SELL,1789681108.4099998,1789681137.875,momentum_zero_cross,29.46500015258789,0.09070070158729089,-16.75287789381238,0.0,-2.339999999999236
500ms-s0-t81,500ms,0,SECONDARY,SELL,1789684082.9740002,1789685283.444,max_hold,1200.4699997901917,0.08938780893181528,-18.221300192140443,0.6199999999998909,-3.9200000000000728
500ms-s0-t82,500ms,0,BURST,BUY,1789701778.447,1789701845.5249999,momentum_zero_cross,67.07799983024597,0.08795983868412945,8.923017754392083,1.7799999999997453,-0.36999999999989086
500ms-s0-t83,500ms,0,PRIMARY,BUY,1789702326.9910002,1789703227.079,max_hold,900.0879998207092,0.08865911940166796,-18.49700332574347,1.8299999999999272,-2.9700000000002547
500ms-s0-t84,500ms,0,PRIMARY,BUY,1789705225.456,1789705870.4950001,emergency_stop,645.0390000343323,0.08720954279945048,-33.551468271511744,2.3299999999999272,-4.020000000000437
500ms-s0-t85,500ms,0,PRIMARY,SELL,1789706581.792,1789707481.849,max_hold,900.0569999217987,0.08458017508404676,-6.0708752804332144,4.75,-1.449999999999818
500ms-s0-t86,500ms,0,PRIMARY,SELL,1789712211.0449998,1789713111.404,max_hold,900.3590002059937,0.084104411599199,-3.300077211814987,8.05999999999949,-0.7000000000007276
500ms-s0-t87,500ms,0,BURST,BUY,1789713296.6780002,1789713363.177,momentum_zero_cross,66.49899983406067,0.08384579053353154,9.067366600148446,1.949999999999818,-0.25
500ms-s0-t88,500ms,0,PRIMARY,BUY,1789713750.544,1789714650.717,max_hold,900.1730000972748,0.08455638360830331,34.39194978881087,4.710000000000036,-0.0500000000001819
500ms-s0-t89,500ms,0,BURST,SELL,1789720203.473,1789720239.82,momentum_zero_cross,36.34699988365173,0.08725161833581797,1.3360260965005906,1.0799999999999272,-2.230000000000473
