window,interval,segment_id,strategy,trade_index,entry_index,exit_index,engine,side,entry_ts,exit_ts,hold_sec,exit_reason,entry_balance_inr,entry_oz,pnl_inr,mfe_usd,mae_usd,exit_move_usd,partial_pnl_inr
historical7d,1s,0,router_v2,4,5796,6426,SECONDARY,SELL,1789576468.965,1789577098.9699998,630.0049998760223,take_profit,487.02305651134225,0.03816711361438324,29.73275760001864,8.140000000000327,-2.149999999999636,8.140000000000327,0.0
historical7d,1s,0,router_v2,5,6427,6502,PRIMARY,SELL,1789577099.722,1789577174.9529998,75.23099994659424,emergency_stop,516.7558141113609,0.040497215900541436,-15.812727911807361,0.0,-4.079999999999927,-4.079999999999927,0.0
historical7d,1s,0,router_v2,6,6953,7850,PRIMARY,SELL,1789577625.984,1789578526.721,900.7369999885559,max_hold,500.94308619955353,0.03925800109398489,33.663375392610135,13.420000000000073,-1.6000000000003638,8.960000000000036,0.0
historical7d,1s,0,router_v2,7,7942,8128,MICRO,BUY,1789578618.875,1789578804.99,186.11500000953674,trail,534.6064615921637,0.04189613876750068,21.110272652121875,6.520000000000437,0.0,4.380000000000109,16.71981708629612
historical7d,1s,0,router_v2,8,8453,9099,PRIMARY,SELL,1789579129.869,1789579777.976,648.1070001125336,emergency_stop,555.7167342442855,0.04355051254708247,-16.87989580267093,2.8100000000004,-4.050000000000182,-4.050000000000182,0.0
historical7d,1s,0,router_v2,9,9573,10474,PRIMARY,BUY,1789580254.921,1789581155.809,900.8880000114441,max_hold,538.8368384416145,0.04222766572846478,49.222745191638985,14.489999999999782,-0.43000000000029104,12.179999999999382,0.0
historical7d,1s,0,router_v2,10,10968,11062,PRIMARY,BUY,1789581649.928,1789581743.95,94.0220000743866,emergency_stop,588.0595836332535,0.04608516299275984,-17.729996446540508,1.6300000000001091,-4.019999999999527,-4.019999999999527,0.0
historical7d,1s,0,router_v2,11,11389,11835,SECONDARY,BUY,1789582071.959,1789582518.9580002,446.99900007247925,emergency_stop,570.329587186713,0.04469569532852828,-17.87983255830469,1.8099999999994907,-4.180000000000291,-4.180000000000291,0.0
historical7d,1s,0,router_v2,12,12668,13068,PRIMARY,SELL,1789583356.9459999,1789583760.997,404.0510001182556,emergency_stop,552.4497546284083,0.043294485279978825,-17.857938318361185,2.0100000000002183,-4.309999999999491,-4.309999999999491,0.0
historical7d,1s,0,router_v2,13,13720,13797,MICRO,BUY,1789584430.963,1789584507.9180002,76.95500016212463,emergency_stop,534.5918163100471,0.04189499104330368,-18.1226625729087,2.2200000000002547,-4.519999999999527,-4.519999999999527,0.0
