window,interval,segment_id,pair_type,entry_delta_sec,candidate_d_engine,candidate_d_side,candidate_d_entry_ts,candidate_d_exit_ts,candidate_d_exit_reason,candidate_d_pnl_inr,candidate_d_mfe_usd,candidate_d_mae_usd,router_engine,router_side,router_entry_ts,router_exit_ts,router_exit_reason,router_pnl_inr,router_mfe_usd,router_mae_usd,paired_pnl_delta_router_minus_d
historical7d,500ms,0,exact_same_action,0.0,PRIMARY,BUY,1789661749.9420002,1789662495.4540002,emergency_stop,-37.31462309449378,5.920000000000073,-4.0900000000001455,PRIMARY,BUY,1789661749.9420002,1789662495.4540002,emergency_stop,-26.27880542179217,5.920000000000073,-4.0900000000001455,11.035817672701612
historical7d,500ms,0,exact_same_action,0.0,SECONDARY,SELL,1789662996.479,1789663061.473,emergency_stop,-35.993126629944406,0.0,-4.0700000000006185,SECONDARY,SELL,1789662996.479,1789663061.473,emergency_stop,-25.348142170295908,0.0,-4.0700000000006185,10.644984459648498
historical7d,500ms,0,exact_same_action,0.0,PRIMARY,SELL,1789663504.984,1789663549.472,emergency_stop,-34.55149357529465,0.0,-4.030000000000655,PRIMARY,SELL,1789663504.984,1789663549.472,emergency_stop,-24.332872782827394,0.0,-4.030000000000655,10.218620792467256
historical7d,500ms,0,exact_same_action,0.0,SECONDARY,BUY,1789663602.473,1789664765.407,take_profit,68.42780338279054,8.229999999999563,-0.660000000000764,SECONDARY,BUY,1789663602.473,1789664765.407,take_profit,48.19024772093571,8.229999999999563,-0.660000000000764,-20.237555661854834
historical7d,500ms,0,exact_same_action,0.0,PRIMARY,BUY,1789664819.497,1789665122.47,emergency_stop,-37.7823160218083,4.0,-4.280000000000655,PRIMARY,BUY,1789664819.497,1789665122.47,emergency_stop,-26.608177941592864,4.0,-4.280000000000655,11.174138080215435
historical7d,500ms,0,exact_same_action,0.0,MICRO,SELL,1789665128.421,1789665431.976,momentum_zero_cross,0.9398704216152566,1.7199999999993452,-3.0200000000004366,MICRO,SELL,1789665128.421,1789665431.976,momentum_zero_cross,0.6619032937510679,1.7199999999993452,-3.0200000000004366,-0.27796712786418865
historical7d,500ms,0,exact_same_action,0.0,PRIMARY,SELL,1789666760.28,1789667660.3630002,max_hold,52.84719213585868,6.470000000000255,-2.639999999999418,PRIMARY,SELL,1789666760.28,1789667660.3630002,max_hold,37.21760972124689,6.470000000000255,-2.639999999999418,-15.62958241461179
historical7d,500ms,0,exact_same_action,0.0,PRIMARY,SELL,1789668684.972,1789668791.965,momentum_zero_cross,-22.816582799831842,0.8299999999999272,-2.75,PRIMARY,SELL,1789668684.972,1789668791.965,momentum_zero_cross,-16.068567496142496,0.8299999999999272,-2.75,6.748015303689346
historical7d,500ms,0,exact_same_action,0.0,PRIMARY,BUY,1789670449.961,1789670824.465,momentum_zero_cross,1.8430765832530724,2.3700000000008004,-1.2599999999993088,PRIMARY,BUY,1789670449.961,1789670824.465,momentum_zero_cross,1.2979857999936764,2.3700000000008004,-1.2599999999993088,-0.5450907832593961
historical7d,500ms,0,exact_same_action,0.0,PRIMARY,BUY,1789671602.393,1789672502.4099998,max_hold,-19.338832111984257,1.699999999999818,-3.630000000000109,PRIMARY,BUY,1789671602.393,1789672502.4099998,max_hold,-13.619363241820642,1.699999999999818,-3.630000000000109,5.719468870163615
historical7d,500ms,0,exact_same_action,0.0,PRIMARY,SELL,1789673571.864,1789674472.351,max_hold,8.645336991880962,4.389999999999418,-0.22000000000025466,PRIMARY,SELL,1789673571.864,1789674472.351,max_hold,6.0884744310598755,4.389999999999418,-0.22000000000025466,-2.556862560821086
historical7d,500ms,0,exact_same_action,0.0,PRIMARY,SELL,1789681108.4099998,1789681137.875,momentum_zero_cross,-16.810641647282345,0.0,-2.339999999999236,PRIMARY,SELL,1789681108.4099998,1789681137.875,momentum_zero_cross,-11.83888631933136,0.0,-2.339999999999236,4.971755327950985
