window,engine,side,entry_500ms,entry_1s,abs_delta_sec,bid_update_frac2_500ms,bid_update_frac2_1s,ask_update_frac2_500ms,ask_update_frac2_1s,both_update_frac2_500ms,both_update_frac2_1s,bid_ask_update_imb2_500ms,bid_ask_update_imb2_1s,bid_update_frac10_500ms,bid_update_frac10_1s,ask_update_frac10_500ms,ask_update_frac10_1s,both_update_frac10_500ms,both_update_frac10_1s,bid_ask_update_imb10_500ms,bid_ask_update_imb10_1s,trade_count2_500ms,trade_count2_1s,trade_count10_500ms,trade_count10_1s,trade_quote_ratio2_500ms,trade_quote_ratio2_1s,trade_quote_ratio10_500ms,trade_quote_ratio10_1s,buy_trade_count2_500ms,buy_trade_count2_1s,sell_trade_count2_500ms,sell_trade_count2_1s,dir_trade_count_imb2_500ms,dir_trade_count_imb2_1s,buy_trade_count10_500ms,buy_trade_count10_1s,sell_trade_count10_500ms,sell_trade_count10_1s,dir_trade_count_imb10_500ms,dir_trade_count_imb10_1s,buy_volume2_500ms,buy_volume2_1s,sell_volume2_500ms,sell_volume2_1s,dir_trade_volume_imb2_500ms,dir_trade_volume_imb2_1s,buy_volume10_500ms,buy_volume10_1s,sell_volume10_500ms,sell_volume10_1s,dir_trade_volume_imb10_500ms,dir_trade_volume_imb10_1s,last_move2_500ms,last_move2_1s,last_move10_500ms,last_move10_1s,dir_last_move2_500ms,dir_last_move2_1s,dir_last_move10_500ms,dir_last_move10_1s
historical7d,SECONDARY,BUY,1789597832.972,1789597780.968,52.00399994850159,0.90625,0.6,0.9375,0.92,0.84375,0.52,-0.01694915254237288,-0.21052631578947367,0.8303030303030303,0.6907894736842105,0.8545454545454545,0.875,0.6848484848484848,0.5657894736842105,-0.014388489208633094,-0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,PRIMARY,SELL,1789598203.407,1789598203.9580002,0.5510001182556152,0.5625,0.6451612903225806,0.90625,0.8709677419354839,0.46875,0.5161290322580645,-0.23404255319148937,-0.14893617021276595,0.7109826589595376,0.7176470588235294,0.8670520231213873,0.8647058823529412,0.5780346820809249,0.5823529411764706,-0.0989010989010989,-0.09293680297397769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
historical7d,MICRO,SELL,1789598207.8579998,1789598208.907,1.0490002632141113,0.8235294117647058,0.78125,0.8823529411764706,0.84375,0.7058823529411765,0.625,-0.034482758620689655,-0.038461538461538464,0.7090909090909091,0.7134146341463414,0.8848484848484849,0.8719512195121951,0.593939393939394,0.5853658536585366,-0.11026615969581749,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
historical7d,PRIMARY,BUY,1789598739.483,1789598773.96,34.47699999809265,0.6,0.8571428571428571,0.9333333333333333,0.6785714285714286,0.5333333333333333,0.5357142857142857,-0.21739130434782608,0.11627906976744186,0.7,0.8759124087591241,0.8866666666666667,0.8102189781021898,0.5866666666666667,0.6861313868613139,-0.11764705882352941,0.03896103896103896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,MICRO,BUY,1789599010.995,1789599010.995,0.0,0.7741935483870968,0.7741935483870968,0.9032258064516129,0.9032258064516129,0.6774193548387096,0.6774193548387096,-0.07692307692307693,-0.07692307692307693,0.6529411764705882,0.6529411764705882,0.9235294117647059,0.9235294117647059,0.5764705882352941,0.5764705882352941,-0.17164179104477612,-0.17164179104477612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,MICRO,BUY,1789614642.982,1789614642.982,0.0,0.5,0.5,0.75,0.75,0.25,0.25,-0.2,-0.2,0.4666666666666667,0.4666666666666667,0.8666666666666667,0.8666666666666667,0.3333333333333333,0.3333333333333333,-0.3,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,PRIMARY,BUY,1789615338.474,1789615421.591,83.11700010299683,0.6470588235294118,0.8888888888888888,0.8235294117647058,0.6666666666666666,0.47058823529411764,0.5555555555555556,-0.12,0.14285714285714285,0.6440677966101694,0.7017543859649122,0.847457627118644,0.7719298245614035,0.4915254237288136,0.47368421052631576,-0.13636363636363635,-0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,SECONDARY,BUY,1789617600.971,1789617600.971,0.0,0.9393939393939394,0.9393939393939394,0.8181818181818182,0.8181818181818182,0.7575757575757576,0.7575757575757576,0.06896551724137931,0.06896551724137931,0.8878504672897196,0.8878504672897196,0.7289719626168224,0.7289719626168224,0.616822429906542,0.616822429906542,0.09826589595375723,0.09826589595375723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,MICRO,BUY,1789617634.951,1789617634.951,0.0,0.9285714285714286,0.9285714285714286,0.5,0.5,0.42857142857142855,0.42857142857142855,0.3,0.3,0.9703703703703703,0.9703703703703703,0.5703703703703704,0.5703703703703704,0.5407407407407407,0.5407407407407407,0.25961538461538464,0.25961538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,MICRO,BUY,1789617976.963,1789618055.969,79.00600004196167,0.8461538461538461,0.8181818181818182,0.7692307692307693,0.6363636363636364,0.6153846153846154,0.45454545454545453,0.047619047619047616,0.125,0.898989898989899,0.7752808988764045,0.7676767676767676,0.6629213483146067,0.6666666666666666,0.43820224719101125,0.07878787878787878,0.078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
