window,interval,segment_id,engine,side,side_sign,entry_ts,bid_update_frac2,ask_update_frac2,both_update_frac2,bid_ask_update_imb2,bid_update_frac10,ask_update_frac10,both_update_frac10,bid_ask_update_imb10,trade_count2,trade_count10,trade_quote_ratio2,trade_quote_ratio10,buy_trade_count2,sell_trade_count2,dir_trade_count_imb2,buy_trade_count10,sell_trade_count10,dir_trade_count_imb10,buy_volume2,sell_volume2,dir_trade_volume_imb2,buy_volume10,sell_volume10,dir_trade_volume_imb10,last_move2,last_move10,dir_last_move2,dir_last_move10
historical7d,1s,0,MICRO,BUY,1,1789584430.963,0.9428571428571428,0.9714285714285714,0.9142857142857143,-0.014925373134328358,0.9166666666666666,0.875,0.7916666666666666,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,1s,0,MICRO,SELL,-1,1789584568.838,0.8571428571428571,0.42857142857142855,0.2857142857142857,0.3333333333333333,0.9137931034482759,0.5689655172413793,0.4827586206896552,0.23255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
historical7d,1s,0,MICRO,SELL,-1,1789592535.972,0.9743589743589743,0.8205128205128205,0.7948717948717948,0.08571428571428572,0.9516129032258065,0.8333333333333334,0.7849462365591398,0.06626506024096386,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
historical7d,1s,0,MICRO,SELL,-1,1789593002.968,0.8611111111111112,0.9444444444444444,0.8055555555555556,-0.046153846153846156,0.8924050632911392,0.9493670886075949,0.8417721518987342,-0.030927835051546393,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
historical7d,1s,0,MICRO,SELL,-1,1789593074.971,0.8823529411764706,0.8823529411764706,0.7647058823529411,0.0,0.9085365853658537,0.926829268292683,0.8353658536585366,-0.009966777408637873,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
historical7d,1s,0,MICRO,BUY,1,1789593638.928,0.9459459459459459,0.972972972972973,0.918918918918919,-0.014084507042253521,0.8857142857142857,0.9714285714285714,0.8571428571428571,-0.046153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,1s,0,MICRO,SELL,-1,1789594268.969,0.6944444444444444,0.8333333333333334,0.5277777777777778,-0.09090909090909091,0.8571428571428571,0.8846153846153846,0.7417582417582418,-0.015772870662460567,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
historical7d,1s,0,MICRO,SELL,-1,1789594358.949,0.8205128205128205,0.9743589743589743,0.7948717948717948,-0.08571428571428572,0.9142857142857143,0.9085714285714286,0.8228571428571428,0.003134796238244514,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
historical7d,1s,0,MICRO,BUY,1,1789594762.982,0.9393939393939394,0.9696969696969697,0.9090909090909091,-0.015873015873015872,0.9017341040462428,0.9421965317919075,0.8439306358381503,-0.0219435736677116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,1s,0,MICRO,BUY,1,1789594989.979,0.9375,0.90625,0.84375,0.01694915254237288,0.9308176100628931,0.9433962264150944,0.8742138364779874,-0.006711409395973154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,1s,0,MICRO,SELL,-1,1789595454.966,0.8378378378378378,0.9459459459459459,0.7837837837837838,-0.06060606060606061,0.850828729281768,0.8950276243093923,0.7458563535911602,-0.02531645569620253,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
historical7d,1s,0,MICRO,SELL,-1,1789595609.952,0.8378378378378378,0.7837837837837838,0.6216216216216216,0.03333333333333333,0.8571428571428571,0.8888888888888888,0.746031746031746,-0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
historical7d,1s,0,MICRO,SELL,-1,1789596352.959,0.7714285714285715,0.8571428571428571,0.6285714285714286,-0.05263157894736842,0.7266666666666667,0.7866666666666666,0.5133333333333333,-0.039647577092511016,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
historical7d,1s,0,MICRO,BUY,1,1789596893.973,0.7142857142857143,1.0,0.7142857142857143,-0.16666666666666666,0.8471337579617835,0.9554140127388535,0.802547770700637,-0.06007067137809187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,1s,0,MICRO,SELL,-1,1789597171.978,0.7741935483870968,0.7096774193548387,0.4838709677419355,0.043478260869565216,0.7358490566037735,0.8301886792452831,0.5660377358490566,-0.060240963855421686,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
historical7d,1s,0,MICRO,SELL,-1,1789597586.985,0.8717948717948718,0.5897435897435898,0.46153846153846156,0.19298245614035087,0.9157303370786517,0.6797752808988764,0.5955056179775281,0.14788732394366197,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
historical7d,1s,0,MICRO,SELL,-1,1789598208.907,0.78125,0.84375,0.625,-0.038461538461538464,0.7134146341463414,0.8719512195121951,0.5853658536585366,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
historical7d,1s,0,MICRO,BUY,1,1789599010.995,0.7741935483870968,0.9032258064516129,0.6774193548387096,-0.07692307692307693,0.6529411764705882,0.9235294117647059,0.5764705882352941,-0.17164179104477612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,1s,0,MICRO,BUY,1,1789614642.982,0.5,0.75,0.25,-0.2,0.4666666666666667,0.8666666666666667,0.3333333333333333,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,1s,0,MICRO,BUY,1,1789617634.951,0.9285714285714286,0.5,0.42857142857142855,0.3,0.9703703703703703,0.5703703703703704,0.5407407407407407,0.25961538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,1s,0,MICRO,BUY,1,1789618055.969,0.8181818181818182,0.6363636363636364,0.45454545454545453,0.125,0.7752808988764045,0.6629213483146067,0.43820224719101125,0.078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,1s,0,MICRO,SELL,-1,1789636602.907,0.7777777777777778,0.6666666666666666,0.4444444444444444,0.07692307692307693,0.8431372549019608,0.803921568627451,0.6470588235294118,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
historical7d,1s,0,MICRO,BUY,1,1789640154.983,0.8461538461538461,0.9230769230769231,0.7692307692307693,-0.043478260869565216,0.7619047619047619,0.873015873015873,0.6349206349206349,-0.06796116504854369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,1s,0,MICRO,SELL,-1,1789654359.968,1.0,0.5882352941176471,0.5882352941176471,0.25925925925925924,0.9245283018867925,0.7547169811320755,0.6792452830188679,0.10112359550561797,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
historical7d,1s,0,MICRO,BUY,1,1789658385.9910002,0.9230769230769231,0.8461538461538461,0.7692307692307693,0.043478260869565216,0.9058823529411765,0.8235294117647058,0.7294117647058823,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,1s,0,MICRO,BUY,1,1789658583.973,0.8620689655172413,0.6551724137931034,0.5172413793103449,0.13636363636363635,0.8095238095238095,0.7777777777777778,0.5873015873015873,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,1s,0,MICRO,BUY,1,1789658877.599,0.6470588235294118,0.5882352941176471,0.23529411764705882,0.047619047619047616,0.6336633663366337,0.7821782178217822,0.4158415841584158,-0.1048951048951049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,1s,0,MICRO,SELL,-1,1789659073.9889998,0.8125,0.75,0.5625,0.04,0.9242424242424242,0.7878787878787878,0.7121212121212122,0.07964601769911504,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
historical7d,1s,0,MICRO,SELL,-1,1789659164.844,0.5714285714285714,0.7857142857142857,0.35714285714285715,-0.15789473684210525,0.8428571428571429,0.6714285714285714,0.5142857142857142,0.11320754716981132,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
historical7d,1s,0,MICRO,BUY,1,1789660200.981,0.7619047619047619,0.7142857142857143,0.47619047619047616,0.03225806451612903,0.8170731707317073,0.7317073170731707,0.5487804878048781,0.05511811023622047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,1s,0,MICRO,SELL,-1,1789661426.9180002,0.75,0.875,0.625,-0.07692307692307693,0.8541666666666666,0.75,0.6041666666666666,0.06493506493506493,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
historical7d,1s,0,MICRO,BUY,1,1789661776.924,0.5263157894736842,0.9473684210526315,0.47368421052631576,-0.2857142857142857,0.6730769230769231,0.9230769230769231,0.5961538461538461,-0.1566265060240964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,1s,0,MICRO,BUY,1,1789664822.995,0.7666666666666667,0.8,0.5666666666666667,-0.02127659574468085,0.6616541353383458,0.8270676691729323,0.48872180451127817,-0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,1s,0,MICRO,SELL,-1,1789665094.939,0.8928571428571429,0.8571428571428571,0.75,0.02040816326530612,0.8230088495575221,0.8407079646017699,0.6637168141592921,-0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
historical7d,1s,0,MICRO,BUY,1,1789722075.9910002,0.9,0.95,0.85,-0.02702702702702703,0.7669902912621359,0.8640776699029126,0.6310679611650486,-0.05952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,1s,1,MICRO,SELL,-1,1789744843.99,0.9333333333333333,0.8666666666666667,0.8,0.037037037037037035,0.78125,0.8020833333333334,0.5833333333333334,-0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
