window,engine,side,entry_500ms,entry_1s,abs_delta_sec,raw_count2_500ms,raw_count2_1s,raw_count10_500ms,raw_count10_1s,event_rate_accel_2_10_500ms,event_rate_accel_2_10_1s,median_iat2_ms_500ms,median_iat2_ms_1s,median_iat10_ms_500ms,median_iat10_ms_1s,iat_ratio_2_10_500ms,iat_ratio_2_10_1s,mid_move2_500ms,mid_move2_1s,mid_move10_500ms,mid_move10_1s,dir_mid_move2_500ms,dir_mid_move2_1s,dir_mid_move10_500ms,dir_mid_move10_1s,event_eff2_500ms,event_eff2_1s,event_eff10_500ms,event_eff10_1s,event_imb2_500ms,event_imb2_1s,event_imb10_500ms,event_imb10_1s,dir_event_imb2_500ms,dir_event_imb2_1s,dir_event_imb10_500ms,dir_event_imb10_1s,dir_imbalance_delta_2_10_500ms,dir_imbalance_delta_2_10_1s,quote_sidedness2_500ms,quote_sidedness2_1s,two_sided_update_frac2_500ms,two_sided_update_frac2_1s,spread_rel10_500ms,spread_rel10_1s,spread_change_rel2_500ms,spread_change_rel2_1s,spread_compression10_500ms,spread_compression10_1s,dir_range_position10_500ms,dir_range_position10_1s
historical7d,MICRO,BUY,1790077316.497,1790077324.903,8.406000137329102,29.0,35.0,147.0,139.0,0.9863945578231293,1.2589928057553956,53.50005626678467,52.500009536743164,52.99997329711914,53.99978160858154,1.0094355324834232,0.9722263307894556,0.1999999999998181,0.1999999999998181,0.4399999999995998,0.8500000000003638,0.1999999999998181,0.1999999999998181,0.4399999999995998,0.8500000000003638,0.1818181818184073,0.08438818565387081,0.0628571428572082,0.12426900584806985,0.07142857142857142,0.17647058823529413,0.07586206896551724,0.06569343065693431,0.07142857142857142,0.17647058823529413,0.07586206896551724,0.06569343065693431,-0.004433497536945816,0.11077715757835982,-0.25,-0.11764705882352941,0.5357142857142857,0.7647058823529411,0.611111111109848,0.7058823529402324,-0.2222222222247486,-0.35294117647279116,0.8888888888914153,0.7647058823532559,-0.3262411347524775,0.6793248945140167
historical7d,SECONDARY,SELL,1790078293.477,1790078293.721,0.24399995803833008,19.0,23.0,120.0,120.0,0.7916666666666666,0.9583333333333334,54.000020027160645,52.99997329711914,52.99997329711914,52.99997329711914,1.0188688157338348,1.0,-1.0399999999990541,-1.0100000000002183,-1.769999999999527,-1.6450000000004366,1.0399999999990541,1.0100000000002183,1.769999999999527,1.6450000000004366,0.8455284552865847,0.8015873015908076,0.32717190388200695,0.31125827814621504,-0.5555555555555556,-0.2727272727272727,-0.05084745762711865,-0.01694915254237288,0.5555555555555556,0.2727272727272727,0.05084745762711865,0.01694915254237288,0.504708097928437,0.2557781201848998,-0.2222222222222222,-0.13636363636363635,0.6666666666666666,0.5909090909090909,0.9032258064496255,0.8666666666638372,-0.1290322580642322,-0.20000000000121265,0.709677419354744,0.800000000001819,1.0,0.9657142857156161
historical7d,MICRO,BUY,1790081566.449,1790081569.965,3.5160000324249268,32.0,35.0,163.0,165.0,0.9815950920245399,1.0606060606060606,54.000139236450195,50.999999046325684,52.00004577636719,52.500009536743164,1.038463301911015,0.9714283768011953,0.8649999999997817,-0.21500000000014552,0.8699999999989814,2.6699999999991633,0.8649999999997817,-0.21500000000014552,0.8699999999989814,2.6699999999991633,0.6679536679553383,0.08548707753493073,0.11153846153841938,0.22840034217280458,0.4666666666666667,-0.47058823529411764,0.08387096774193549,0.09433962264150944,0.4666666666666667,-0.47058823529411764,0.08387096774193549,0.09433962264150944,0.3827956989247312,-0.564927857935627,0.0967741935483871,-0.11764705882352941,0.8387096774193549,0.7058823529411765,0.7941176470597676,0.7250000000005684,-0.3235294117609294,-1.2750000000017052,1.3529411764674413,1.3500000000034107,0.9883945841397115,0.43043478260817136
historical7d,MICRO,SELL,1790081758.967,1790081758.967,0.0,26.0,26.0,109.0,109.0,1.1926605504587156,1.1926605504587156,55.00006675720215,55.00006675720215,55.00006675720215,55.00006675720215,1.0,1.0,-0.08999999999923602,-0.08999999999923602,-0.5799999999999272,-0.5799999999999272,0.08999999999923602,0.08999999999923602,0.5799999999999272,0.5799999999999272,0.14999999999886313,0.14999999999886313,0.17008797653957536,0.17008797653957536,0.04,0.04,0.0,0.0,-0.04,-0.04,-0.0,-0.0,-0.04,-0.04,-0.16,-0.16,0.6,0.6,1.1666666666666667,1.1666666666666667,0.08333333333143855,0.08333333333143855,0.6250000000028422,0.6250000000028422,0.8894472361803074,0.8894472361803074
historical7d,MICRO,BUY,1790081889.859,1790081889.859,0.0,26.0,26.0,123.0,123.0,1.056910569105691,1.056910569105691,50.99987983703613,50.99987983703613,53.50017547607422,53.50017547607422,0.9532656553592755,0.9532656553592755,0.49499999999898137,0.49499999999898137,1.694999999999709,1.694999999999709,0.49499999999898137,0.49499999999898137,1.694999999999709,1.694999999999709,0.39442231075584033,0.39442231075584033,0.3067873303164066,0.3067873303164066,0.44,0.44,0.24786324786324787,0.24786324786324787,0.44,0.44,0.24786324786324787,0.24786324786324787,0.19213675213675213,0.19213675213675213,0.04,0.04,0.88,0.88,0.9285714285698045,0.9285714285698045,0.1785714285689924,0.1785714285689924,1.4285714285746767,1.4285714285746767,1.0,1.0
historical7d,BURST,BUY,1790081889.859,1790081889.859,0.0,26.0,26.0,123.0,123.0,1.056910569105691,1.056910569105691,50.99987983703613,50.99987983703613,53.50017547607422,53.50017547607422,0.9532656553592755,0.9532656553592755,0.49499999999898137,0.49499999999898137,1.694999999999709,1.694999999999709,0.49499999999898137,0.49499999999898137,1.694999999999709,1.694999999999709,0.39442231075584033,0.39442231075584033,0.3067873303164066,0.3067873303164066,0.44,0.44,0.24786324786324787,0.24786324786324787,0.44,0.44,0.24786324786324787,0.24786324786324787,0.19213675213675213,0.19213675213675213,0.04,0.04,0.88,0.88,0.9285714285698045,0.9285714285698045,0.1785714285689924,0.1785714285689924,1.4285714285746767,1.4285714285746767,1.0,1.0
recent24h,PRIMARY,BUY,1790192053.48,1790192053.982,0.502000093460083,23.0,26.0,64.0,67.0,1.796875,1.9402985074626866,52.99997329711914,54.000139236450195,60.00018119812012,58.500051498413086,0.8833302206557286,0.9230784905875689,0.10500000000047294,0.20499999999992724,0.680000000000291,0.7150000000001455,0.10500000000047294,0.20499999999992724,0.680000000000291,0.7150000000001455,0.18260869565305418,0.31782945736401313,0.3207547169822491,0.33178654292424076,-0.2,0.0,-0.01639344262295082,-0.015873015873015872,-0.2,0.0,-0.01639344262295082,-0.015873015873015872,-0.1836065573770492,0.015873015873015872,0.045454545454545456,0.2,0.5,0.56,1.0799999999981083,1.0384615384659783,-0.6000000000021828,-0.038461538462480245,0.6000000000021828,0.5769230769232114,0.790697674418408,0.9534883720920395
recent24h,PRIMARY,SELL,1790193765.391,1790193767.9910002,2.6000001430511475,34.0,38.0,158.0,160.0,1.0759493670886076,1.1875,52.99997329711914,52.99973487854004,52.00004577636719,52.99973487854004,1.019229358471188,1.0,-0.42999999999847205,-2.5999999999994543,-2.484999999998763,-3.4249999999992724,0.42999999999847205,2.5999999999994543,2.484999999998763,3.4249999999992724,0.24431818181703086,0.6842105263152856,0.24044508950146695,0.3035002215327522,-0.1875,-0.5,-0.12258064516129032,-0.23076923076923078,0.1875,0.5,0.12258064516129032,0.23076923076923078,0.06491935483870968,0.2692307692307692,0.15151515151515152,0.13513513513513514,0.5454545454545454,0.7567567567567568,0.8285714285704634,0.45714285714456476,0.0,-0.45714285713936764,0.6857142857129493,1.199999999996362,0.8947368421043633,0.9908987485777317
recent24h,SECONDARY,SELL,1790193767.4940002,1790193767.9910002,0.49699997901916504,33.0,38.0,158.0,160.0,1.0443037974683544,1.1875,54.49986457824707,52.99973487854004,52.99997329711914,52.99973487854004,1.0282998497512348,1.0,-2.2849999999998545,-2.5999999999994543,-2.8749999999990905,-3.4249999999992724,2.2849999999998545,2.5999999999994543,2.8749999999990905,3.4249999999992724,0.5705368289633547,0.6842105263152856,0.24902555218691555,0.3035002215327522,-0.4375,-0.5,-0.1870967741935484,-0.23076923076923078,0.4375,0.5,0.1870967741935484,0.23076923076923078,0.2504032258064516,0.2692307692307692,0.03125,0.13513513513513514,0.90625,0.7567567567567568,0.6111111111123743,0.45714285714456476,-0.19444444444381284,-0.45714285713936764,1.0,1.199999999996362,0.9642004773266261,0.9908987485777317
recent24h,MICRO,SELL,1790193767.4940002,1790193767.9910002,0.49699997901916504,33.0,38.0,158.0,160.0,1.0443037974683544,1.1875,54.49986457824707,52.99973487854004,52.99997329711914,52.99973487854004,1.0282998497512348,1.0,-2.2849999999998545,-2.5999999999994543,-2.8749999999990905,-3.4249999999992724,2.2849999999998545,2.5999999999994543,2.8749999999990905,3.4249999999992724,0.5705368289633547,0.6842105263152856,0.24902555218691555,0.3035002215327522,-0.4375,-0.5,-0.1870967741935484,-0.23076923076923078,0.4375,0.5,0.1870967741935484,0.23076923076923078,0.2504032258064516,0.2692307692307692,0.03125,0.13513513513513514,0.90625,0.7567567567567568,0.6111111111123743,0.45714285714456476,-0.19444444444381284,-0.45714285713936764,1.0,1.199999999996362,0.9642004773266261,0.9908987485777317
