context,entry_ts,ratchet_exit_ts,side,held_sec,peak_move_usd,exit_move_usd,retained_fraction,trade_pnl_inr,legacy_same_tick_exit
historical7d:500ms:segment0,1789673571.864,1789673796.966,SELL,225.10199999809265,4.149999999999636,2.019999999999527,0.48674698795173593,13.196173070311373,False
historical7d:500ms:segment0,1789706581.792,1789707136.867,SELL,555.0750000476837,4.75,1.860000000000582,0.3915789473685436,11.500933563868186,False
historical7d:500ms:segment0,1789712211.0449998,1789712331.459,SELL,120.41400027275085,5.449999999999818,2.630000000000109,0.48256880733948565,16.48892864194791,False
historical7d:500ms:segment0,1789713750.544,1789714011.437,BUY,260.893000125885,4.229999999999563,1.9299999999993815,0.4562647754136125,12.443489979442068,False
historical7d:500ms:segment0,1789721882.816,1789722312.931,BUY,430.11500000953674,11.590000000000146,5.5900000000001455,0.4823123382226122,36.488642996923105,False
historical7d:500ms:segment0,1789735360.477,1789735640.9169998,SELL,280.4399998188019,5.480000000000473,2.5900000000001455,0.4726277372262631,18.480432579817503,False
historical7d:500ms:segment1,1789749090.464,1789749480.485,SELL,390.02099990844727,8.6200000000008,4.160000000000764,0.4825986078886749,15.956838266830568,False
historical7d:500ms:segment1,1789753818.487,1789754013.4950001,BUY,195.00800013542175,5.639999999999418,2.7100000000000364,0.4804964539007653,10.252321356855164,False
historical7d:500ms:segment1,1789758584.742,1789758819.981,BUY,235.2389998435974,4.739999999999782,2.1899999999996,0.46202531645563305,8.606139295063734,False
historical7d:500ms:segment1,1789759468.945,1789759913.968,BUY,445.02300000190735,7.100000000000364,3.550000000000182,0.5,14.179729553472367,False
historical7d:500ms:segment2,1789967510.961,1789968412.476,SELL,901.5150001049042,8.699999999999818,3.699999999999818,0.42528735632182707,13.768856249999372,True
recent24h:500ms:whole,1790196504.42,1790197394.474,BUY,890.0539999008179,4.800000000000182,2.1099999999996726,0.43958333333324845,7.568317426798864,False
recent24h:500ms:whole,1790227939.976,1790228065.368,BUY,125.39199995994568,4.050000000000182,1.3299999999999272,0.32839506172836236,4.720653353222148,False
recent24h:500ms:whole,1790248961.94,1790249117.4780002,SELL,155.53800010681152,4.190000000000509,1.7700000000004366,0.42243436754181896,5.711462827466066,False
recent24h:500ms:whole,1790267679.908,1790268124.976,SELL,445.0680000782013,4.850000000000364,2.4099999999998545,0.4969072164947781,6.121720177568065,False
recent24h:500ms:whole,1790272615.978,1790272946.461,SELL,330.4830000400543,4.890000000000327,2.3400000000001455,0.4785276073619609,5.103565364883787,False
historical7d:1s:segment0,1789575094.938,1789575450.967,BUY,356.029000043869,9.799999999999272,4.639999999999418,0.4734693877550778,16.42485995551068,False
historical7d:1s:segment0,1789592390.992,1789592401.966,BUY,10.973999977111816,7.539999999999964,-2.0,-0.2652519893899217,-8.044638778559776,False
historical7d:1s:segment0,1789593033.9889998,1789593594.987,SELL,560.9980001449585,21.089999999999236,9.959999999999127,0.47226173541960587,36.70583810483739,False
historical7d:1s:segment0,1789595330.9689999,1789595395.971,SELL,65.00200009346008,5.1200000000008,1.860000000000582,0.3632812500000569,7.808658176273698,False
historical7d:1s:segment0,1789623093.972,1789623674.719,SELL,580.7470002174377,5.649999999999636,2.7299999999995634,0.4831858407079184,9.723112185161664,False
historical7d:1s:segment0,1789635295.977,1789635901.9740002,BUY,605.9970002174377,5.359999999999673,2.630000000000109,0.4906716417910951,9.558742617515447,False
historical7d:1s:segment0,1789640906.6929998,1789641311.978,BUY,405.2850000858307,5.359999999999673,2.1700000000000728,0.404850746268695,7.713965698789131,False
historical7d:1s:segment0,1789643496.9,1789643647.6390002,SELL,150.739000082016,5.25,2.569999999999709,0.48952380952375407,9.221214279629194,False
historical7d:1s:segment0,1789656876.67,1789657357.723,BUY,481.0529999732971,12.75,5.430000000000291,0.4258823529411993,19.811002704063494,False
historical7d:1s:segment0,1789661749.9420002,1789661990.921,BUY,240.97899985313416,5.869999999999891,2.3100000000004,0.3935264054515235,9.441525066371572,False
historical7d:1s:segment0,1789664822.9950001,1789664988.932,BUY,165.93699979782104,4.0700000000006185,1.7800000000006548,0.4373464373465318,7.590651407710969,False
historical7d:1s:segment0,1789673571.864,1789673796.966,SELL,225.10199999809265,4.149999999999636,2.019999999999527,0.48674698795173593,8.51867764114299,False
historical7d:1s:segment0,1789706581.792,1789707136.867,SELL,555.0750000476837,4.690000000000509,1.860000000000582,0.396588486140806,7.2567304297511726,False
historical7d:1s:segment0,1789712211.0449998,1789712331.8060002,SELL,120.76100039482117,5.449999999999818,2.4799999999995634,0.4550458715595681,9.81061575899018,False
historical7d:1s:segment0,1789713750.544,1789714011.737,BUY,261.1930000782013,4.229999999999563,2.0399999999999636,0.48226950354614045,8.292873168368429,False
historical7d:1s:segment0,1789721883.6169999,1789722313.9329998,BUY,430.3159999847412,11.61999999999989,5.609999999999673,0.4827882960412844,23.154323851571338,False
historical7d:1s:segment0,1789735360.577,1789735640.9169998,SELL,280.3399999141693,5.420000000000073,2.569999999999709,0.47416974169735693,11.964011673450226,False
historical7d:1s:segment1,1789749091.967,1789749476.979,SELL,385.01200008392334,8.600000000000364,4.149999999999636,0.482558139534821,16.234941864648498,False
historical7d:1s:segment1,1789753819.984,1789754010.997,BUY,191.0130000114441,5.350000000000364,2.3900000000003274,0.44672897196264766,9.059784903660576,False
historical7d:1s:segment1,1789758585.943,1789758820.985,BUY,235.04199981689453,4.510000000000218,1.7299999999995634,0.38359201773824386,6.780794515388693,False
historical7d:1s:segment1,1789759468.945,1789759913.968,BUY,445.02300000190735,7.100000000000364,3.550000000000182,0.5,14.094885780930136,False
historical7d:1s:segment2,1789967510.961,1789968412.9859998,SELL,902.0249998569489,8.699999999999818,3.869999999999891,0.44482758620689333,14.385152812499683,True
historical7d:1s:segment2,1789993811.904,1789993957.9459999,SELL,146.04199981689453,4.75,2.2000000000007276,0.46315789473699526,7.637238233657088,False
recent24h:1s:whole,1790196504.922,1790197395.7740002,BUY,890.8520002365112,4.789999999999964,2.149999999999636,0.44885177453019887,7.702638278378302,False
recent24h:1s:whole,1790227939.976,1790228060.9689999,BUY,120.992999792099,4.050000000000182,1.949999999999818,0.48148148148141495,6.918811182678194,False
recent24h:1s:whole,1790248961.94,1790249117.926,SELL,155.98600006103516,4.140000000000327,1.9700000000002547,0.4758454106280432,6.435843005372965,False
recent24h:1s:whole,1790268611.999,1790268917.907,SELL,305.9079999923706,4.0,1.3500000000003638,0.33750000000009095,3.903546836420817,False
recent24h:1s:whole,1790272615.978,1790273016.86,SELL,400.8819999694824,5.680000000000291,2.430000000000291,0.42781690140848,6.681637982156375,False
