interval,window_id,source,source_range_id,start_ts,end_ts,candidate_d_pnl,candidate_g_pnl,candidate_d_trades,candidate_g_trades,candidate_d_wins,candidate_g_wins,candidate_g_ratchet_exits,candidate_g_ghost_releases
1s,24,historical7d,153,1789656173.977,1789670573.62,31.18915301921001,37.91970744583593,17,17,8,10,3,3
1s,25,recent24h,0,1790189973.9689999,1790204372.865,-27.861680295516123,-26.918893492045186,8,8,2,2,1,1
1s,26,historical7d,153,1789659580.952,1789673979.36,-35.68432341520869,11.484648384612285,13,14,4,7,3,2
1s,27,recent24h,0,1790189960.8019998,1790204359.8620002,-27.861680295516123,-26.918893492045186,8,8,2,2,1,1
1s,28,historical7d,0,1789581246.98,1789595645.9859998,112.92337096589006,17.12436794346229,19,19,8,8,3,3
1s,29,recent24h,0,1790189996.993,1790204395.742,-27.861680295516123,-26.918893492045186,8,8,2,2,1,1
1s,30,historical7d,0,1789582234.928,1789596633.936,82.97983871513975,-8.139035154974522,21,21,8,8,3,3
1s,31,recent24h,0,1790189972.968,1790204371.9129999,-27.861680295516123,-26.918893492045186,8,8,2,2,1,1
1s,32,historical7d,364,1789753022.951,1789767422.375,10.988054746574676,3.285010104037383,7,7,3,4,2,2
1s,33,recent24h,0,1790189996.993,1790204395.742,-27.861680295516123,-26.918893492045186,8,8,2,2,1,1
1s,34,historical7d,153,1789653997.9550002,1789668396.968,101.43678393460743,127.60665532163546,18,18,9,11,3,3
1s,35,recent24h,0,1790189947.777,1790204346.789,-27.861680295516123,-26.918893492045186,8,8,2,2,1,1
1s,36,historical7d,364,1789745539.714,1789759938.983,-1.9774190370912805,-1.4508086523069892,11,12,5,7,4,3
1s,37,recent24h,0,1790189944.922,1790204343.633,-27.861680295516123,-26.918893492045186,8,8,2,2,1,1
1s,38,historical7d,364,1789741845.977,1789756243.0579998,9.974756484777231,9.567017950909644,13,13,7,7,2,2
1s,39,recent24h,0,1790189931.555,1790204329.368,-27.861680295516123,-26.918893492045186,8,8,2,2,1,1
