context,ratchet_exit_ts,legacy_release_ts,ghost_duration_sec,side,legacy_exit_reason,legacy_exit_move_usd
recent24h:500ms:whole,1790272946.461,1790273516.407,569.9460000991821,SELL,7,4.980000000000473
historical7d:1s:segment0,1789575450.967,1789575994.977,544.0099999904633,BUY,7,4.25
historical7d:1s:segment0,1789592401.966,1789592402.978,1.0119998455047607,BUY,1,-4.930000000000291
historical7d:1s:segment0,1789593594.987,1789593933.999,339.01200008392334,SELL,7,14.75
historical7d:1s:segment0,1789595395.971,1789595580.982,185.0110001564026,SELL,2,25.26000000000022
historical7d:1s:segment0,1789623674.719,1789623994.9740002,320.2550001144409,SELL,7,2.100000000000364
historical7d:1s:segment0,1789635901.9740002,1789636196.952,294.9779996871948,BUY,7,6.420000000000073
historical7d:1s:segment0,1789641311.978,1789641806.8899999,494.9119999408722,BUY,7,1.3999999999996362
historical7d:1s:segment0,1789643647.6390002,1789643837.992,190.3529999256134,SELL,5,1.2200000000002547
historical7d:1s:segment0,1789657357.723,1789657776.993,419.2699999809265,BUY,7,12.590000000000146
historical7d:1s:segment0,1789661990.921,1789662495.851,504.9300000667572,BUY,1,-4.109999999999673
historical7d:1s:segment0,1789664988.932,1789665122.976,134.0440001487732,BUY,1,-4.089999999999236
historical7d:1s:segment0,1789673796.966,1789674472.952,675.9859998226166,SELL,7,1.0099999999993088
historical7d:1s:segment0,1789707136.867,1789707481.849,344.981999874115,SELL,7,-0.75
historical7d:1s:segment0,1789712331.8060002,1789713111.404,779.5979998111725,SELL,7,-0.4099999999998545
historical7d:1s:segment0,1789714011.737,1789714650.717,638.9800000190735,BUY,7,4.25
historical7d:1s:segment0,1789722313.9329998,1789722322.851,8.918000221252441,BUY,5,5.469999999999345
historical7d:1s:segment0,1789735640.9169998,1789736260.586,619.6690001487732,SELL,7,1.3599999999996726
historical7d:1s:segment1,1789749476.979,1789749991.997,515.0179998874664,SELL,7,5.569999999999709
historical7d:1s:segment1,1789754010.997,1789754157.972,146.97499990463257,BUY,5,1.1099999999996726
historical7d:1s:segment1,1789758820.985,1789758913.959,92.9740002155304,BUY,5,-0.02999999999974534
historical7d:1s:segment1,1789759913.968,1789760369.956,455.98800015449524,BUY,7,7.480000000000473
historical7d:1s:segment2,1789993957.9459999,1789994712.9950001,755.0490002632141,SELL,7,-2.5399999999999636
recent24h:1s:whole,1790197395.7740002,1790197405.895,10.120999813079834,BUY,7,1.8800000000001091
recent24h:1s:whole,1790228060.9689999,1790228840.6009998,779.6319999694824,BUY,7,4.199999999999818
recent24h:1s:whole,1790249117.926,1790249521.964,404.03799986839294,SELL,1,-4.479999999999563
recent24h:1s:whole,1790268917.907,1790269512.829,594.9219999313354,SELL,7,2.0600000000004
recent24h:1s:whole,1790273016.86,1790273516.407,499.547000169754,SELL,7,4.980000000000473
