trade_id,interval,segment_id,engine,side,checkpoint_nominal_sec,checkpoint_actual_sec,move_usd,peak_favorable_usd,mae_usd,directional_m60_usd,directional_imb10,qacc,release_gate,checkpoint_pnl_inr_fixed_size,eventual_pnl_inr,potential_saved_exposure_sec
1s-s0-t80,1s,0,PRIMARY,BUY,300,300.0039999485016,1.730000000000473,2.3200000000006185,-1.2599999999993088,-0.4849999999987631,-0.10256410256410256,0.9266409266409267,False,8.473631341367781,-1.763299007450169,75.00200009346008
1s-s0-t81,1s,0,PRIMARY,BUY,60,60.98399996757507,0.8600000000005821,1.2400000000006912,-1.1599999999998545,1.1049999999995634,-0.031578947368421054,1.1825726141078838,False,4.200952128095135,-9.867352672958654,839.7859997749329
1s-s0-t81,1s,0,PRIMARY,BUY,120,120.992999792099,1.0300000000006548,1.800000000000182,-1.1599999999998545,0.13000000000010914,0.0,1.0227272727272727,False,5.0313728976021075,-9.867352672958654,779.7769999504089
1s-s0-t81,1s,0,PRIMARY,BUY,300,300.98799991607666,0.1500000000005457,1.800000000000182,-1.769999999999527,0.4899999999997817,0.13793103448275862,0.9157894736842105,False,0.7327242083908562,-9.867352672958654,599.7819998264313
1s-s0-t82,1s,0,PRIMARY,SELL,60,60.09299993515015,1.7299999999995634,1.7299999999995634,-0.22000000000025466,1.9500000000007276,0.13043478260869565,1.08984375,False,8.322723635810059,4.858931139979496,840.9949998855591
1s-s0-t82,1s,0,PRIMARY,SELL,120,120.08299994468689,3.0399999999999636,4.149999999999636,-0.22000000000025466,1.4699999999993452,-0.15151515151515152,0.75,False,14.624901649057026,4.858931139979496,781.0049998760223
1s-s0-t82,1s,0,PRIMARY,SELL,300,301.09999990463257,1.2100000000000364,4.149999999999636,-0.22000000000025466,-0.6750000000001819,-0.06666666666666667,1.0843373493975903,False,5.8210957221578115,4.858931139979496,599.9879999160767
1s-s0-t83,1s,0,SECONDARY,SELL,60,60.03699994087219,-0.5900000000001455,0.6399999999994179,-0.9099999999998545,-0.32000000000061846,0.14285714285714285,0.7989130434782609,False,-2.859886287710822,-19.389059577695708,83.82599997520447
1s-s0-t83,1s,0,SECONDARY,SELL,120,120.875,-2.449999999999818,0.6399999999994179,-2.4899999999997817,-1.8699999999998909,-0.0,1.0601503759398496,True,-11.875798991337739,-19.389059577695708,22.98799991607666
1s-s0-t85,1s,0,SECONDARY,SELL,60,60.39699983596802,-1.1599999999998545,0.0,-1.5399999999999636,-0.9650000000001455,0.21052631578947367,0.9461538461538461,False,-5.374784686423701,-9.591210604225672,1140.5329999923706
1s-s0-t85,1s,0,SECONDARY,SELL,120,120.00899982452393,0.5100000000002183,0.5900000000001455,-1.5399999999999636,1.7449999999989814,0.13924050632911392,1.3407821229050279,False,2.3630518879979348,-9.591210604225672,1080.9210000038147
1s-s0-t85,1s,0,SECONDARY,SELL,300,300.02299976348877,-1.0700000000006185,0.5900000000001455,-3.1900000000005093,1.3599999999996726,0.09433962264150944,1.1571428571428573,False,-4.957775529721901,-9.591210604225672,900.9070000648499
1s-s0-t86,1s,0,PRIMARY,BUY,60,60.03400015830994,1.7899999999999636,1.9900000000006912,-1.139999999999418,2.149999999999636,0.15384615384615385,1.1223021582733812,False,8.165086780999856,-19.203919188832614,571.9769999980927
1s-s0-t86,1s,0,PRIMARY,BUY,120,120.88000011444092,0.4400000000005093,2.300000000000182,-1.139999999999418,-1.3099999999994907,-0.08,1.25,False,2.007060437790038,-19.203919188832614,511.13100004196167
1s-s0-t86,1s,0,PRIMARY,BUY,300,301.0660002231598,0.5100000000002183,2.300000000000182,-1.139999999999418,0.7449999999998909,0.11475409836065574,1.453125,False,2.3263655074367557,-19.203919188832614,330.9449999332428
1s-s0-t87,1s,0,PRIMARY,SELL,60,60.20199990272522,-0.5099999999993088,0.5,-0.5299999999997453,-0.16499999999996362,0.15789473684210525,1.0353982300884956,False,-2.252910516535422,-3.3131037007918755,839.8550000190735
1s-s0-t87,1s,0,PRIMARY,SELL,120,120.19299983978271,1.3800000000001091,1.6400000000003274,-0.8099999999994907,1.8800000000001091,-0.01818181818181818,1.20863309352518,False,6.0961108094575325,-3.3131037007918755,779.864000082016
1s-s0-t87,1s,0,PRIMARY,SELL,300,300.0150001049042,-0.21999999999934516,3.100000000000364,-1.449999999999818,-1.4199999999991633,0.2727272727272727,1.1478260869565218,False,-0.9718437522293907,-3.3131037007918755,600.0419998168945
1s-s0-t88,1s,0,PRIMARY,SELL,60,60.379000186920166,3.75,4.1599999999998545,0.0,4.125,-0.018867924528301886,1.0529801324503312,False,16.472337462374607,-1.8009755625523176,839.9800000190735
1s-s0-t88,1s,0,PRIMARY,SELL,120,120.76100039482117,2.4799999999995634,5.449999999999818,0.0,-1.3649999999997817,-0.13513513513513514,0.9390243902439024,False,10.893705841781822,-1.8009755625523176,779.5979998111725
1s-s0-t88,1s,0,PRIMARY,SELL,300,300.746000289917,5.5900000000001455,5.5900000000001455,0.0,2.970000000001164,0.2972972972972973,0.6098901098901099,False,24.55476437724705,-1.8009755625523176,599.6129999160767
1s-s0-t90,1s,0,PRIMARY,BUY,60,60.382000207901,1.819999999999709,2.2100000000000364,-0.0500000000001819,2.1899999999986903,-0.21212121212121213,0.7615384615384615,False,8.040525553493696,18.775952528765753,839.7909998893738
1s-s0-t90,1s,0,PRIMARY,BUY,120,120.46399998664856,1.6499999999996362,2.7899999999999636,-0.0500000000001819,-0.2600000000002183,0.034482758620689655,1.16,False,7.289487452342744,18.775952528765753,779.7090001106262
1s-s0-t90,1s,0,PRIMARY,BUY,300,300.382000207901,3.6299999999991996,4.229999999999563,-0.0500000000001819,0.6749999999992724,0.25925925925925924,0.826530612244898,False,16.036872395154035,18.775952528765753,599.7909998893738
1s-s0-t91,1s,0,PRIMARY,BUY,60,60.27800011634827,1.5499999999992724,1.9299999999993815,-0.9800000000004729,1.7449999999998909,-0.043478260869565216,0.7921348314606742,False,7.065970782164037,24.936038824806968,378.9560000896454
1s-s0-t91,1s,0,PRIMARY,BUY,120,120.28099989891052,2.2999999999992724,2.6799999999993815,-0.9800000000004729,0.8400000000001455,0.0196078431372549,1.2540983606557377,False,10.484988902567595,24.936038824806968,318.95300030708313
1s-s0-t91,1s,0,PRIMARY,BUY,300,300.27100014686584,8.919999999999163,11.61999999999989,-0.9800000000004729,-0.25499999999919964,-0.2542372881355932,0.8695652173913043,False,40.663522178662504,24.936038824806968,138.9630000591278
1s-s0-t92,1s,0,SECONDARY,BUY,60,60.98299980163574,0.9899999999997817,1.7299999999995634,-0.5200000000004366,1.1899999999995998,-0.10344827586206896,1.144736842105263,False,4.698254007205852,33.172520717550626,1141.9240000247955
1s-s0-t92,1s,0,SECONDARY,BUY,120,120.77300000190735,1.6300000000001091,1.7299999999995634,-0.5200000000004366,0.7400000000006912,0.1891891891891892,1.271186440677966,False,7.735509122977516,33.172520717550626,1082.133999824524
1s-s0-t92,1s,0,SECONDARY,BUY,300,300.32299971580505,1.5299999999997453,3.899999999999636,-0.5200000000004366,-0.6799999999993815,-0.2,1.0444444444444445,False,7.260938011136709,33.172520717550626,902.5840001106262
1s-s0-t93,1s,0,PRIMARY,BUY,60,61.46499991416931,0.27000000000043656,0.27000000000043656,-1.3800000000001091,0.535000000000764,0.4,0.7947019867549668,False,1.3485163564207352,14.833679920605375,839.2079999446869
1s-s0-t93,1s,0,PRIMARY,BUY,120,120.60000014305115,-0.47999999999956344,0.4000000000005457,-1.3800000000001091,-0.680000000000291,-0.061224489795918366,1.2672413793103448,True,-2.3973624114085834,14.833679920605375,780.072999715805
1s-s0-t93,1s,0,PRIMARY,BUY,300,300.7339999675751,-1.0799999999999272,0.4000000000005457,-2.6599999999998545,0.06999999999970896,-0.015873015873015872,1.1636363636363636,False,-5.394065425673856,14.833679920605375,599.9389998912811
1s-s0-t95,1s,0,PRIMARY,SELL,60,60.03200006484985,-0.009999999999308784,0.4000000000005457,-0.7899999999999636,0.24500000000080036,-0.07692307692307693,1.0318471337579618,False,-0.050885256908469886,6.4115423709114925,496.06199979782104
1s-s0-t95,1s,0,PRIMARY,SELL,120,121.10799980163574,0.03999999999996362,0.4000000000005457,-0.7899999999999636,0.00999999999839929,0.14754098360655737,1.15527950310559,False,0.20354102764776352,6.4115423709114925,434.98600006103516
1s-s0-t95,1s,0,PRIMARY,SELL,300,300.57099986076355,1.0,1.6199999999998909,-1.0499999999992724,-0.14499999999952706,-0.26153846153846155,0.9026548672566371,False,5.088525691198716,6.4115423709114925,255.52300000190735
1s-s0-t96,1s,0,PRIMARY,SELL,60,60.38100028038025,0.31999999999970896,0.5399999999999636,-1.6900000000005093,0.589999999999236,0.125,1.348993288590604,False,1.643715922872282,6.985792672211871,839.6279997825623
1s-s0-t96,1s,0,PRIMARY,SELL,120,120.12500023841858,1.6599999999998545,1.7200000000002547,-1.6900000000005093,1.1149999999997817,0.05660377358490566,0.9578313253012049,False,8.52677634990697,6.985792672211871,779.8839998245239
1s-s0-t96,1s,0,PRIMARY,SELL,300,300.2569999694824,2.769999999999527,5.420000000000073,-1.6900000000005093,-2.6350000000002183,-0.10526315789473684,1.2580645161290323,False,14.228415957373702,6.985792672211871,599.7520000934601
1s-s0-t97,1s,0,SECONDARY,SELL,60,60.998000144958496,0.6199999999998909,2.7100000000000364,-0.4899999999997817,0.944999999999709,-0.15151515151515152,1.0059171597633136,False,3.2171835364931614,-21.949494128016113,101.98099994659424
1s-s0-t97,1s,0,SECONDARY,SELL,120,120.95799994468689,-1.5,2.7100000000000364,-1.75,-2.380000000000109,0.03296703296703297,0.8691588785046729,False,-7.783508556033213,-21.949494128016113,42.021000146865845
1s-s1-t0,1s,1,PRIMARY,SELL,60,60.79299998283386,0.8599999999996726,1.3699999999998909,-0.6500000000005457,1.1499999999996362,-0.04,1.0,False,3.2249999999987717,5.84999999999809,305.12999987602234
1s-s1-t0,1s,1,PRIMARY,SELL,120,120.86500000953674,1.639999999999418,2.949999999999818,-0.6500000000005457,0.7550000000001091,-0.1935483870967742,0.9947368421052631,False,6.149999999997817,5.84999999999809,245.05799984931946
1s-s1-t0,1s,1,PRIMARY,SELL,300,300.9409999847412,2.6299999999991996,3.2299999999995634,-0.6500000000005457,1.360000000000582,0.047619047619047616,1.0666666666666667,False,9.862499999996999,5.84999999999809,64.98199987411499
1s-s1-t2,1s,1,PRIMARY,SELL,60,60.882999897003174,-0.5200000000004366,0.3999999999996362,-1.2200000000002547,-0.32000000000152795,0.2545454545454545,1.247191011235955,False,-1.9778456782516551,21.299876534997868,839.1459999084473
1s-s1-t2,1s,1,PRIMARY,SELL,120,121.02099990844727,0.07999999999992724,0.8899999999994179,-1.2200000000002547,0.7000000000007276,0.11475409836065574,1.0917159763313609,False,0.3042839504997224,21.299876534997868,779.0079998970032
1s-s1-t2,1s,1,PRIMARY,SELL,300,301.02499985694885,-0.21000000000003638,1.3299999999999272,-3.4600000000000364,0.9150000000008731,0.02127659574468085,1.0594795539033457,False,-0.7987453700626361,21.299876534997868,599.0039999485016
1s-s1-t4,1s,1,SECONDARY,SELL,60,60.65000009536743,-1.1199999999998909,0.9799999999995634,-2.130000000000109,-0.8599999999996726,0.011494252873563218,0.978021978021978,False,-4.668690277628079,-17.0073717256465,89.16100001335144
1s-s1-t4,1s,1,SECONDARY,SELL,120,120.12000012397766,-1.3699999999998909,0.9799999999995634,-2.9700000000002547,-0.23499999999967258,0.2087912087912088,0.9215686274509803,False,-5.7108086431701635,-17.0073717256465,29.69099998474121
1s-s1-t6,1s,1,PRIMARY,BUY,60,60.98300004005432,1.569999999999709,2.5799999999999272,-0.9700000000002547,1.8649999999997817,0.03496503496503497,1.099236641221374,False,6.629256584427619,-13.554085118482067,66.0440001487732
1s-s1-t6,1s,1,PRIMARY,BUY,120,120.01300001144409,-1.699999999999818,2.5799999999999272,-2.369999999999891,-3.6900000000005093,0.06666666666666667,0.9584415584415584,False,-7.178175919444482,-13.554085118482067,7.014000177383423
