trade_id,interval,segment_id,engine,side,side_sign,entry_ts,exit_ts,exit_reason,hold_sec,entry_oz,pnl_inr,mfe_usd,mae_usd,entry_m10,entry_m30,entry_m60,entry_m120,entry_qacc,entry_imb10,entry_range60,entry_spread,entry_directional_imb10
1s-s0-t41,1s,0,SECONDARY,BUY,1,1789598297.943,1789598314.9580002,emergency_stop,17.015000104904175,0.04565025885203038,-18.698573729281687,0.0,-4.279999999999745,1.5,1.7600000000002183,3.6350000000002183,4.625,0.9859719438877755,-0.031055900621118012,5.040000000000873,0.27999999999974534,-0.031055900621118012
1s-s0-t42,1s,0,SECONDARY,BUY,1,1789598469.9750001,1789599022.907,take_profit,552.9319999217987,0.044184885542880296,34.6321220813001,8.1899999999996,-2.25,1.0449999999991633,2.4350000000004,2.800000000000182,8.295000000000073,1.0050761421319796,-0.015384615384615385,3.9399999999996,0.2600000000002183,-0.015384615384615385
1s-s0-t43,1s,0,PRIMARY,BUY,1,1789599063.922,1789599103.9689999,emergency_stop,40.04699993133545,0.04689894213735159,-18.08795881880069,0.0,-4.029999999999745,0.875,1.0349999999998545,5.819999999999709,7.974999999999454,1.0402010050251256,0.15555555555555556,5.649999999999636,0.2899999999999636,0.15555555555555556
1s-s0-t44,1s,0,PRIMARY,BUY,1,1789599553.984,1789606800.963,emergency_stop,7246.979000091553,0.04548142161125022,-53.36370427556867,1.0399999999999636,-12.259999999999309,0.284999999998945,1.7949999999991633,0.7899999999999636,-0.5799999999999272,1.0337837837837838,0.2052980132450331,2.7750000000005457,0.23999999999978172,0.2052980132450331
1s-s0-t45,1s,0,MICRO,BUY,1,1789614642.982,1789614793.947,trail,150.9649999141693,0.041299404894096,21.30365039864898,6.529999999999745,-0.75,0.27999999999974534,0.4499999999998181,3.0200000000004366,6.359999999999673,0.8709677419354839,0.022222222222222223,3.1299999999991996,0.24000000000069122,0.022222222222222223
1s-s0-t46,1s,0,PRIMARY,BUY,1,1789615421.591,1789615738.8270001,emergency_stop,317.23600006103516,0.04296893333693965,-16.73672382128043,0.569999999999709,-4.0700000000006185,0.3850000000002183,0.875,0.5950000000002547,-0.03999999999996362,0.8969072164948454,-0.13793103448275862,2.1149999999997817,0.28000000000065484,-0.13793103448275862
1s-s0-t47,1s,0,SECONDARY,BUY,1,1789617600.971,1789617657.826,take_profit,56.855000019073486,0.04165730664682937,32.25233606694491,8.090000000000146,-0.4600000000000364,3.0150000000003274,2.930000000000291,5.954999999999927,5.164999999999964,1.1423487544483986,0.009345794392523364,3.600000000000364,0.23999999999978172,0.009345794392523364
1s-s0-t48,1s,0,SECONDARY,BUY,1,1789617977.909,1789618261.937,emergency_stop,284.02800011634827,0.0441848637276258,-17.590910467301473,6.489999999999782,-4.1599999999998545,3.0900000000001455,3.634999999999309,5.180000000000291,7.289999999999054,1.213740458015267,0.08571428571428572,5.0349999999998545,0.26999999999952706,0.08571428571428572
1s-s0-t49,1s,0,PRIMARY,BUY,1,1789618633.982,1789619534.96,max_hold,900.9779999256134,0.04280629597932392,45.472841844717195,11.710000000000036,-1.3400000000001455,0.9700000000002547,3.0999999999994543,3.1850000000004,2.4399999999996,1.0857142857142856,0.21052631578947367,3.9149999999999636,0.23999999999978172,0.21052631578947367
1s-s0-t50,1s,0,PRIMARY,SELL,-1,1789621329.987,1789621393.8460002,momentum_zero_cross,63.85900020599365,0.04636992011960275,-10.6948539447899,0.0,-2.4099999999998545,-1.375,-2.8599999999996726,-1.6799999999993815,-2.0700000000006185,0.9336099585062241,-0.2,3.175000000000182,0.1000000000003638,0.2
1s-s0-t51,1s,0,PRIMARY,SELL,-1,1789621909.9020002,1789622248.9910002,emergency_stop,339.08899998664856,0.04553178381344099,-19.739417594449023,3.7100000000000364,-4.530000000000655,-0.08499999999912689,-1.4200000000000728,-3.4249999999992724,-0.7449999999989814,1.2372881355932204,0.1111111111111111,3.869999999999891,0.24000000000069122,-0.1111111111111111
1s-s0-t52,1s,0,PRIMARY,SELL,-1,1789623093.972,1789623994.9740002,max_hold,901.0020003318787,0.04398484145837911,8.839827561042812,5.649999999999636,-3.5,-0.4150000000008731,-1.735000000000582,-2.8950000000004366,-3.585000000000946,0.6241610738255033,-0.0967741935483871,3.8099999999994907,0.11999999999989086,0.0967741935483871
1s-s0-t53,1s,0,PRIMARY,BUY,1,1789635295.977,1789636196.952,max_hold,900.9749999046326,0.0446776027113487,27.450253383676436,7.229999999999563,-1.0299999999997453,-0.29500000000007276,0.4099999999998545,1.2299999999995634,2.8450000000002547,1.2,-0.1864406779661017,1.4849999999996726,0.25,-0.1864406779661017
1s-s0-t54,1s,0,MICRO,SELL,-1,1789636602.907,1789636862.664,momentum_zero_cross,259.7569999694824,0.046828829281900165,-6.587977435145568,0.930000000000291,-2.1700000000000728,-0.6849999999994907,0.03499999999985448,-2.149999999999636,-6.039999999999054,0.7927461139896373,-0.02040816326530612,2.084999999999127,0.2600000000002183,0.02040816326530612
