context,entry_ts,exit_ts,side,held_sec,peak_move_usd,exit_move_usd,retained_fraction,trade_pnl_inr
historical7d:500ms:segment0,1789664819.497,1789665039.976,BUY,220.47900009155273,4.0,1.4399999999995998,0.35999999999989996,6.322299623370432
historical7d:500ms:segment0,1789673571.864,1789673796.966,SELL,225.10199999809265,4.149999999999636,2.019999999999527,0.48674698795173593,9.058360577181766
historical7d:500ms:segment0,1789706581.792,1789707136.867,SELL,555.0750000476837,4.75,1.860000000000582,0.3915789473685436,7.656658306997669
historical7d:500ms:segment0,1789712211.0449998,1789712331.459,SELL,120.41400027275085,5.449999999999818,2.630000000000109,0.48256880733948565,10.977377771878874
historical7d:500ms:segment0,1789713750.544,1789714011.437,BUY,260.893000125885,4.229999999999563,1.9299999999993815,0.4562647754136125,8.284158011177373
historical7d:500ms:segment0,1789721882.816,1789722312.931,BUY,430.11500000953674,11.590000000000146,5.5900000000001455,0.4823123382226122,24.292034204177902
historical7d:500ms:segment0,1789735360.477,1789735640.9169998,SELL,280.4399998188019,5.480000000000473,2.5900000000001455,0.4726277372262631,12.303206243509416
historical7d:500ms:segment1,1789749090.464,1789749480.485,SELL,390.02099990844727,8.6200000000008,4.160000000000764,0.4825986078886749,15.956838266830568
historical7d:500ms:segment1,1789753818.487,1789754013.4950001,BUY,195.00800013542175,5.639999999999418,2.7100000000000364,0.4804964539007653,10.239629240559584
historical7d:500ms:segment1,1789758584.742,1789758819.981,BUY,235.2389998435974,4.739999999999782,2.1899999999996,0.46202531645563305,8.595485110807612
historical7d:500ms:segment2,1789967510.961,1789968412.476,SELL,901.5150001049042,8.699999999999818,3.699999999999818,0.42528735632182707,13.768856249999372
recent24h:500ms:whole,1790196504.42,1790197394.474,BUY,890.0539999008179,4.800000000000182,2.1099999999996726,0.43958333333324845,7.568317426798864
recent24h:500ms:whole,1790227939.976,1790228065.368,BUY,125.39199995994568,4.050000000000182,1.3299999999999272,0.32839506172836236,4.720653353222148
recent24h:500ms:whole,1790248961.94,1790249117.4780002,SELL,155.53800010681152,4.190000000000509,1.7700000000004366,0.42243436754181896,5.540118942642085
recent24h:500ms:whole,1790267679.908,1790268124.976,SELL,445.0680000782013,4.850000000000364,2.4099999999998545,0.4969072164947781,5.759035804787935
recent24h:500ms:whole,1790268611.999,1790268917.409,SELL,305.4099998474121,4.010000000000218,1.5200000000004366,0.379052369077395,3.697907955593981
recent24h:500ms:whole,1790272615.978,1790272946.461,SELL,330.4830000400543,4.890000000000327,2.3400000000001455,0.4785276073619609,5.008830332711468
historical7d:1s:segment0,1789575094.938,1789575450.967,BUY,356.029000043869,9.799999999999272,4.639999999999418,0.4734693877550778,16.42485995551068
historical7d:1s:segment0,1789592390.992,1789592401.966,BUY,10.973999977111816,7.539999999999964,-2.0,-0.2652519893899217,-7.964996854652053
historical7d:1s:segment0,1789593033.9889998,1789593594.987,SELL,560.9980001449585,21.089999999999236,9.959999999999127,0.47226173541960587,36.342450307599584
historical7d:1s:segment0,1789595330.9689999,1789595395.971,SELL,65.00200009346008,5.1200000000008,1.860000000000582,0.3632812500000569,7.493608029311722
historical7d:1s:segment0,1789623093.972,1789623674.719,SELL,580.7470002174377,5.649999999999636,2.7299999999995634,0.4831858407079184,9.394442219643565
historical7d:1s:segment0,1789635295.977,1789635901.9740002,BUY,605.9970002174377,5.359999999999673,2.630000000000109,0.4906716417910951,9.23562882980356
historical7d:1s:segment0,1789640906.6929998,1789641311.978,BUY,405.2850000858307,5.359999999999673,2.1700000000000728,0.404850746268695,7.453210830188726
historical7d:1s:segment0,1789643496.9,1789643647.6390002,SELL,150.739000082016,5.25,2.569999999999709,0.48952380952375407,8.637547157406729
