interval,batch,seed,window_id,source,source_range_id,start_ts,end_ts,D_pnl,H_pnl,J_pnl,D_trades,H_trades,J_trades,D_wins,H_wins,J_wins,J_delayed_entries,J_skipped_entries,J_phase_exits
500ms,B,20261013,14,historical7d,136,1789657520.909,1789671920.353,22.320411769849457,48.806689872482075,46.63176234908007,19,19,17,9,10,8,0,2,1
500ms,B,20261013,15,recent24h,0,1790189973.9689999,1790204373.4689999,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,B,20261013,16,historical7d,0,1789577239.486,1789591638.965,-9.288990521374842,-9.288990521374842,1.1601996411420146,12,12,11,3,3,3,0,1,0
500ms,B,20261013,17,recent24h,0,1790189931.315,1790204330.826,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,B,20261013,18,historical7d,335,1789754756.1699998,1789769155.9740002,27.544937782547095,30.759851331348614,29.213294346673138,7,7,7,4,4,4,1,0,2
500ms,B,20261013,19,recent24h,0,1790189970.9699998,1790204369.7129998,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,B,20261013,20,historical7d,136,1789655756.156,1789670155.316,48.71119789176316,76.53572294937055,75.15535010910594,18,18,17,8,9,8,0,1,1
500ms,B,20261013,21,recent24h,0,1790189933.4099998,1790204332.124,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,B,20261013,22,historical7d,136,1789657647.915,1789672047.4819999,10.508458270026443,36.395765552675996,34.27002267186696,19,19,17,9,10,8,0,2,1
500ms,B,20261013,23,recent24h,0,1790189979.4689999,1790204378.77,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,B,20261013,24,historical7d,0,1789581860.471,1789596259.91,54.30292171007022,52.91794423545116,78.37087488982206,17,17,15,5,5,5,2,2,1
500ms,B,20261013,25,recent24h,0,1790189945.472,1790204344.8860002,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,B,20261013,26,historical7d,0,1789575855.428,1789590254.2710001,4.010689318352092,4.010689318352092,15.105799095216867,10,10,9,3,3,3,1,1,1
500ms,B,20261013,27,recent24h,0,1790189985.994,1790204385.88,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
