interval,batch,window_id,source,match,candidate_d_entries,candidate_j_shadow_entries
1s,C,29,recent24h,True,8,8
1s,C,30,historical7d,True,13,13
1s,C,31,recent24h,True,8,8
1s,C,32,historical7d,True,20,20
1s,C,33,recent24h,True,8,8
1s,C,34,historical7d,True,14,14
1s,C,35,recent24h,True,8,8
1s,C,36,historical7d,True,11,11
1s,C,37,recent24h,True,8,8
1s,C,38,historical7d,True,15,15
1s,C,39,recent24h,True,8,8
