context,variant,entry_ts,engine,side,gc_bar_start_utc,gc_close,gc_ret5,gc_ret15,gc_ret30,gc_volume,gc_volume_rel_1h,dir_gc_ret5,dir_gc_ret15,dir_gc_ret30,basis_gc_minus_mt5
historical7d:500ms:segment2,GC-entry,1789968692.959,SECONDARY,SELL,1789957500.0,4407.5,0.0013395019151811738,0.00015887712682542828,-0.001858780826003355,437.0,1.1219512195121952,-0.0013395019151811738,-0.00015887712682542828,0.001858780826003355,39.72999999999956
historical7d:500ms:segment2,I,1789968692.959,SECONDARY,SELL,1789957500.0,4407.5,0.0013395019151811738,0.00015887712682542828,-0.001858780826003355,437.0,1.1219512195121952,-0.0013395019151811738,-0.00015887712682542828,0.001858780826003355,39.72999999999956
historical7d:500ms:segment3,GC-entry,1790005642.848,PRIMARY,SELL,1789994400.0,4401.0,0.001409808426092951,0.0018194228353118562,-0.0014531364472267735,1118.0,1.3060747663551402,-0.001409808426092951,-0.0018194228353118562,0.0014531364472267735,45.344999999999345
historical7d:500ms:segment3,GC-entry,1790006912.309,PRIMARY,BUY,1789995600.0,4395.0,-0.0005459038328563537,-9.098615500286299e-05,-0.00011375917195585928,690.0,0.9623430962343096,-0.0005459038328563537,-9.098615500286299e-05,-0.00011375917195585928,33.94499999999971
historical7d:500ms:segment3,GC-entry,1790009383.4910002,SECONDARY,BUY,1789998000.0,4390.60009765625,-0.0002505260866314529,-0.0026611730068150635,-0.0023203839481703552,1179.0,1.6903225806451614,-0.0002505260866314529,-0.0026611730068150635,-0.0023203839481703552,35.11509765624942
historical7d:500ms:segment3,GC-entry,1790009592.7849998,PRIMARY,SELL,1789998300.0,4393.5,0.0006602617039561665,0.0005463885383002865,-0.0015919948779685687,720.0,1.032258064516129,-0.0006602617039561665,-0.0005463885383002865,0.0015919948779685687,43.219999999999345
historical7d:500ms:segment3,GC-entry,1790016648.988,SECONDARY,BUY,1790005500.0,4386.39990234375,-0.00038753098952248877,-0.0014352938183306357,-0.0004330410012589473,648.0,0.9607116382505559,-0.00038753098952248877,-0.0014352938183306357,-0.0004330410012589473,32.63490234375058
historical7d:500ms:segment3,I,1790005642.848,PRIMARY,SELL,1789994400.0,4401.0,0.001409808426092951,0.0018194228353118562,-0.0014531364472267735,1118.0,1.3060747663551402,-0.001409808426092951,-0.0018194228353118562,0.0014531364472267735,45.344999999999345
historical7d:500ms:segment3,I,1790006912.309,PRIMARY,BUY,1789995600.0,4395.0,-0.0005459038328563537,-9.098615500286299e-05,-0.00011375917195585928,690.0,0.9623430962343096,-0.0005459038328563537,-9.098615500286299e-05,-0.00011375917195585928,33.94499999999971
historical7d:500ms:segment3,I,1790009383.4910002,SECONDARY,BUY,1789998000.0,4390.60009765625,-0.0002505260866314529,-0.0026611730068150635,-0.0023203839481703552,1179.0,1.6903225806451614,-0.0002505260866314529,-0.0026611730068150635,-0.0023203839481703552,35.11509765624942
historical7d:500ms:segment3,I,1790009592.7849998,PRIMARY,SELL,1789998300.0,4393.5,0.0006602617039561665,0.0005463885383002865,-0.0015919948779685687,720.0,1.032258064516129,-0.0006602617039561665,-0.0005463885383002865,0.0015919948779685687,43.219999999999345
historical7d:500ms:segment3,I,1790016648.988,SECONDARY,BUY,1790005500.0,4386.39990234375,-0.00038753098952248877,-0.0014352938183306357,-0.0004330410012589473,648.0,0.9607116382505559,-0.00038753098952248877,-0.0014352938183306357,-0.0004330410012589473,32.63490234375058
historical7d:500ms:segment4,GC-entry,1790077022.458,SECONDARY,BUY,1790065800.0,4333.7001953125,-0.0007611391865669503,-0.0015216994808595363,-0.0017751285786770394,1612.0,1.8183869148336154,-0.0007611391865669503,-0.0015216994808595363,-0.0017751285786770394,27.790195312500146
historical7d:500ms:segment4,GC-entry,1790078293.477,SECONDARY,SELL,1790067000.0,4368.60009765625,0.0015348941361708057,0.005025632554551453,0.006729614229803521,1920.0,1.8207681365576103,-0.0015348941361708057,-0.005025632554551453,-0.006729614229803521,38.65009765624927
historical7d:500ms:segment4,I,1790077022.458,SECONDARY,BUY,1790065800.0,4333.7001953125,-0.0007611391865669503,-0.0015216994808595363,-0.0017751285786770394,1612.0,1.8183869148336154,-0.0007611391865669503,-0.0015216994808595363,-0.0017751285786770394,27.790195312500146
historical7d:500ms:segment4,I,1790078293.477,SECONDARY,SELL,1790067000.0,4368.60009765625,0.0015348941361708057,0.005025632554551453,0.006729614229803521,1920.0,1.8207681365576103,-0.0015348941361708057,-0.005025632554551453,-0.006729614229803521,38.65009765624927
recent24h:500ms:whole,GC-entry,1790194322.379,SECONDARY,SELL,1790183100.0,4319.7998046875,0.0012508172687688557,0.00013881453315485521,-0.0011106134645305827,875.0,1.6940948693126816,-0.0012508172687688557,-0.00013881453315485521,0.0011106134645305827,40.10480468750029
recent24h:500ms:whole,GC-entry,1790196065.932,SECONDARY,BUY,1790184900.0,4312.7001953125,-0.0009965131918860948,-0.0013670948900805977,-0.0016448562932399426,519.0,0.7013513513513514,-0.0009965131918860948,-0.0013670948900805977,-0.0016448562932399426,32.00519531250029
recent24h:500ms:whole,GC-entry,1790270870.484,SECONDARY,BUY,1790259600.0,4298.7001953125,-0.0002790470600810835,-0.0015109429308781499,-0.0005814020992959705,733.0,0.6780758556891767,-0.0002790470600810835,-0.0015109429308781499,-0.0005814020992959705,30.83019531250011
recent24h:500ms:whole,GC-entry,1790272615.978,PRIMARY,SELL,1790261400.0,4294.89990234375,0.0005589357508721804,0.0007919273642284317,-0.0008844473034106599,912.0,0.9079143852663016,-0.0005589357508721804,-0.0007919273642284317,0.0008844473034106599,39.19490234375007
recent24h:500ms:whole,I,1790194322.379,SECONDARY,SELL,1790183100.0,4319.7998046875,0.0012508172687688557,0.00013881453315485521,-0.0011106134645305827,875.0,1.6940948693126816,-0.0012508172687688557,-0.00013881453315485521,0.0011106134645305827,40.10480468750029
recent24h:500ms:whole,I,1790196065.932,SECONDARY,BUY,1790184900.0,4312.7001953125,-0.0009965131918860948,-0.0013670948900805977,-0.0016448562932399426,519.0,0.7013513513513514,-0.0009965131918860948,-0.0013670948900805977,-0.0016448562932399426,32.00519531250029
recent24h:500ms:whole,I,1790270870.484,SECONDARY,BUY,1790259600.0,4298.7001953125,-0.0002790470600810835,-0.0015109429308781499,-0.0005814020992959705,733.0,0.6780758556891767,-0.0002790470600810835,-0.0015109429308781499,-0.0005814020992959705,30.83019531250011
recent24h:500ms:whole,I,1790272615.978,PRIMARY,SELL,1790261400.0,4294.89990234375,0.0005589357508721804,0.0007919273642284317,-0.0008844473034106599,912.0,0.9079143852663016,-0.0005589357508721804,-0.0007919273642284317,0.0008844473034106599,39.19490234375007
historical7d:1s:segment0,GC-entry,1789579129.869,PRIMARY,SELL,1789567800.0,4381.7001953125,0.002399205878754529,0.0004109507336604921,2.284473951785378e-05,2643.0,2.2676962676962678,-0.002399205878754529,-0.0004109507336604921,-2.284473951785378e-05,47.475195312499636
historical7d:1s:segment0,GC-entry,1789594424.963,PRIMARY,SELL,1789583100.0,4363.89990234375,0.0017201247703049205,0.002730621019326685,-0.008011111793614533,1376.0,0.9572173913043478,-0.0017201247703049205,-0.002730621019326685,0.008011111793614533,79.18990234374996
historical7d:1s:segment0,GC-entry,1789594762.982,SECONDARY,BUY,1789583400.0,4325.39990234375,-0.008861531493908004,-0.008036218460853273,-0.009457173792591613,7157.0,4.266467958271237,-0.008861531493908004,-0.008036218460853273,-0.009457173792591613,38.58990234375051
historical7d:1s:segment0,GC-entry,1789595933.964,SECONDARY,BUY,1789584600.0,4306.39990234375,-0.0064348282715886995,-0.005903956715328959,-0.011543740215056145,4417.0,1.0726080621661,-0.0064348282715886995,-0.005903956715328959,-0.011543740215056145,35.75990234375058
historical7d:1s:segment0,GC-entry,1789598203.9580002,PRIMARY,SELL,1789587000.0,4302.60009765625,0.0023268811161454295,0.0036556756032907574,-0.002483713286578364,1876.0,0.439601640304628,-0.0023268811161454295,-0.0036556756032907574,0.002483713286578364,45.54009765625051
historical7d:1s:segment0,GC-entry,1789623093.972,PRIMARY,SELL,1789611900.0,4330.10009765625,0.00032334787928611775,0.0010629183505354498,-0.0017996785400772619,237.0,0.3798076923076923,-0.00032334787928611775,-0.0010629183505354498,0.0017996785400772619,42.46009765625058
historical7d:1s:segment0,GC-entry,1789656500.8060002,SECONDARY,BUY,1789645200.0,4364.60009765625,-0.0002061608313468355,-0.0007786690052255475,-0.001671105450988852,460.0,0.8156028368794326,-0.0002061608313468355,-0.0007786690052255475,-0.001671105450988852,32.375097656249636
historical7d:1s:segment0,GC-entry,1789661749.9420002,PRIMARY,BUY,1789650600.0,4406.5,-2.2715651734728226e-05,-0.0016552286239242045,0.001271680285450054,847.0,0.6218795888399412,-2.2715651734728226e-05,-0.0016552286239242045,0.001271680285450054,37.56999999999971
historical7d:1s:segment0,GC-entry,1789666476.851,SECONDARY,BUY,1789655100.0,4407.5,-0.0006804264267969984,-0.0011111016909714799,2.2711013707001476e-05,752.0,0.5593157307549275,-0.0006804264267969984,-0.0011111016909714799,2.2711013707001476e-05,40.524999999999636
historical7d:1s:segment0,GC-entry,1789675361.956,SECONDARY,SELL,1789664100.0,4401.89990234375,0.00047720275992269023,0.0004998425405930361,-0.0012259690323010186,1413.0,2.2199528672427338,-0.00047720275992269023,-0.0004998425405930361,0.0012259690323010186,42.58990234375051
historical7d:1s:segment0,GC-entry,1789740332.994,SECONDARY,SELL,1789729200.0,4424.7998046875,0.0007913092407250133,0.0014474180552516637,0.0009044045512549484,548.0,2.7468671679197993,-0.0007913092407250133,-0.0014474180552516637,-0.0009044045512549484,43.774804687500364
historical7d:1s:segment0,I,1789579129.869,PRIMARY,SELL,1789567800.0,4381.7001953125,0.002399205878754529,0.0004109507336604921,2.284473951785378e-05,2643.0,2.2676962676962678,-0.002399205878754529,-0.0004109507336604921,-2.284473951785378e-05,47.475195312499636
historical7d:1s:segment0,I,1789594424.963,PRIMARY,SELL,1789583100.0,4363.89990234375,0.0017201247703049205,0.002730621019326685,-0.008011111793614533,1376.0,0.9572173913043478,-0.0017201247703049205,-0.002730621019326685,0.008011111793614533,79.18990234374996
