context,variant,ghost_kind,ghost_engine,ghost_side,origin_ts,legacy_release_ts,ghost_duration_sec,legacy_exit_reason,legacy_exit_move_usd
historical7d:1s:segment0,GC-entry,admission_skip,1,SELL,1789594424.963,1789594435.9689999,11.00599980354309,1,-5.269999999999527
historical7d:1s:segment0,GC-entry,admission_skip,2,BUY,1789594762.982,1789594922.984,160.0019998550415,2,9.039999999999964
historical7d:1s:segment0,GC-entry,admission_skip,2,BUY,1789595933.964,1789595971.9889998,38.02499985694885,1,-4.420000000000073
historical7d:1s:segment0,GC-entry,admission_skip,1,SELL,1789598203.9580002,1789598253.957,49.99899983406067,1,-4.5900000000001455
historical7d:1s:segment0,GC-entry,admission_skip,1,SELL,1789623093.972,1789623994.9740002,901.0020003318787,7,2.100000000000364
historical7d:1s:segment0,GC-entry,admission_skip,2,BUY,1789656500.8060002,1789656875.82,375.01399970054626,2,8.010000000000218
historical7d:1s:segment0,GC-entry,admission_skip,1,BUY,1789661749.9420002,1789662495.851,745.9089999198914,1,-4.109999999999673
historical7d:1s:segment0,GC-entry,admission_skip,2,BUY,1789666476.851,1789666737.9550002,261.10400009155273,1,-4.009999999999309
historical7d:1s:segment0,GC-entry,admission_skip,2,SELL,1789675361.956,1789675505.819,143.86299991607666,1,-4.0
historical7d:1s:segment0,GC-entry,admission_skip,2,SELL,1789740332.994,1789740495.973,162.97900009155273,1,-4.230000000000473
historical7d:1s:segment0,I,admission_skip,1,SELL,1789579129.869,1789579777.976,648.1070001125336,1,-4.050000000000182
historical7d:1s:segment0,I,admission_skip,1,SELL,1789594424.963,1789594435.9689999,11.00599980354309,1,-5.269999999999527
historical7d:1s:segment0,I,admission_skip,2,BUY,1789594762.982,1789594922.984,160.0019998550415,2,9.039999999999964
historical7d:1s:segment0,I,admission_skip,2,BUY,1789595933.964,1789595971.9889998,38.02499985694885,1,-4.420000000000073
historical7d:1s:segment0,I,admission_skip,1,SELL,1789598203.9580002,1789598253.957,49.99899983406067,1,-4.5900000000001455
historical7d:1s:segment0,I,admission_skip,1,SELL,1789623093.972,1789623994.9740002,901.0020003318787,7,2.100000000000364
historical7d:1s:segment0,I,admission_skip,2,BUY,1789656500.8060002,1789656875.82,375.01399970054626,2,8.010000000000218
historical7d:1s:segment0,I,admission_skip,1,BUY,1789661749.9420002,1789662495.851,745.9089999198914,1,-4.109999999999673
historical7d:1s:segment0,I,admission_skip,2,BUY,1789666476.851,1789666737.9550002,261.10400009155273,1,-4.009999999999309
historical7d:1s:segment0,I,admission_skip,2,SELL,1789675361.956,1789675505.819,143.86299991607666,1,-4.0
historical7d:1s:segment0,I,admission_skip,2,SELL,1789740332.994,1789740495.973,162.97900009155273,1,-4.230000000000473
historical7d:1s:segment1,H,post_real_exit,1,SELL,1789749512.81,1789749991.997,479.1870000362396,7,5.569999999999709
historical7d:1s:segment1,H,post_real_exit,1,BUY,1789760128.9539998,1789760369.956,241.00200033187866,7,7.480000000000473
historical7d:1s:segment1,GC-entry,admission_skip,2,SELL,1789754302.941,1789754630.972,328.0309998989105,5,0.26999999999952706
historical7d:1s:segment1,GC-entry,admission_skip,2,BUY,1789757067.9889998,1789758267.99,1200.0010001659393,7,1.8299999999999272
