label,episode_id,window,interval,segment_id,engine,side,onset_pnl_inr,onset_entry_ts,policy_action,policy_entry_ts,policy_wait_sec,policy_predicted_ev_inr,policy_pnl_inr,episode_checkpoints
historical_walkforward,historical7d|1s|3|1|1807,historical7d,1s,3,PRIMARY,SELL,20.662499999997408,1790010099.981,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1808,historical7d,1s,3,PRIMARY,SELL,18.97499999999809,1790010108.535,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1809,historical7d,1s,3,PRIMARY,SELL,21.674999999999045,1790010135.937,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1810,historical7d,1s,3,PRIMARY,SELL,18.000000000000682,1790010138.94,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1811,historical7d,1s,3,PRIMARY,SELL,15.337500000000546,1790010143.997,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1812,historical7d,1s,3,PRIMARY,SELL,-1.3874999999995907,1790010151.999,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1813,historical7d,1s,3,PRIMARY,SELL,0.8624999999983629,1790010159.9699998,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1814,historical7d,1s,3,PRIMARY,SELL,11.625000000001364,1790010172.927,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1815,historical7d,1s,3,PRIMARY,SELL,8.587500000003274,1790010182.994,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1816,historical7d,1s,3,PRIMARY,SELL,-15.299999999999727,1790010205.871,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1817,historical7d,1s,3,PRIMARY,SELL,-15.037499999997408,1790010207.626,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1818,historical7d,1s,3,PRIMARY,SELL,-15.487500000000411,1790010220.996,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1820,historical7d,1s,3,PRIMARY,SELL,-15.299999999999727,1790010229.994,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1821,historical7d,1s,3,PRIMARY,SELL,-15.187500000000682,1790010232.996,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1822,historical7d,1s,3,PRIMARY,SELL,-16.875,1790010234.996,SKIP,nan,nan,0.0,0.0,1
historical_walkforward,historical7d|1s|3|1|1823,historical7d,1s,3,PRIMARY,SELL,-15.299999999999727,1790010247.9580002,SKIP,nan,nan,0.0,0.0,1
