context,variant,action,baseline_entry_ts,decision_ts,engine,engine_id,side,side_sign,phase,dir_mid_move2,dir_mid_move10,aligned_mag2,adverse_mag2,aligned_mag10,adverse_mag10,aligned_count2,adverse_count2,aligned_count10,adverse_count10,path_efficiency2,path_efficiency10,adverse_tail_run2,last_nonzero_sign2,seconds_since_aligned2,seconds_since_adverse2,bid_update_frac2,ask_update_frac2,both_update_frac2,bid_ask_update_imb2,bid_update_frac10,ask_update_frac10,both_update_frac10,bid_ask_update_imb10,spread_change2,spread_change10,deadline_ts,initial_phase,wait_sec
recent24h:500ms:whole,Candidate-J,TAKE_IMMEDIATE,1790264524.4659998,1790264524.4659998,PRIMARY,1,BUY,1,HEALTHY_TREND,0.14500000000043656,0.39500000000043656,0.3649999999988722,0.21999999999843567,2.8100000000049477,2.415000000004511,11,10,67,60,0.24786324786513475,0.07559808612434861,1,-1,0.09299993515014648,0.0,0.8636363636363636,0.6363636363636364,0.5,0.15151515151515152,0.8692307692307693,0.7846153846153846,0.6538461538461539,0.05116279069767442,-0.030000000000654836,-0.030000000000654836,,,
recent24h:500ms:whole,Candidate-J,TAKE_UNCHANGED,1790265166.938,1790265166.938,MICRO,3,BUY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recent24h:500ms:whole,Candidate-J,TAKE_IMMEDIATE,1790267679.908,1790267679.908,PRIMARY,1,SELL,-1,HEALTHY_TREND,0.555000000000291,1.5300000000006548,0.8350000000018554,0.28000000000065484,3.840000000002874,2.3100000000013097,18,9,64,60,0.4977578475323667,0.2487804878047785,0,1,0.0,0.24899983406066895,0.896551724137931,0.6896551724137931,0.5862068965517241,0.13043478260869565,0.7857142857142857,0.8492063492063492,0.6349206349206349,-0.038834951456310676,-0.0500000000001819,0.0,,,
recent24h:500ms:whole,Candidate-J,TAKE_IMMEDIATE,1790268793.948,1790268793.948,PRIMARY,1,SELL,-1,HEALTHY_TREND,0.11499999999978172,1.4600000000000364,0.4149999999999636,0.3000000000001819,2.970000000002983,1.5100000000029468,12,8,63,38,0.16083916083882283,0.3258928571424339,1,-1,0.04499983787536621,0.0,0.8571428571428571,0.8095238095238095,0.6666666666666666,0.02857142857142857,0.8737864077669902,0.8155339805825242,0.6893203883495146,0.034482758620689655,-0.06999999999879947,-0.039999999999054126,,,
recent24h:500ms:whole,Candidate-J,WAIT,1790270166.463,1790270166.463,PRIMARY,1,SELL,-1,HEALTHY_PULLBACK,-0.10999999999967258,1.9350000000004002,1.0300000000006548,1.1400000000003274,4.6950000000006185,2.7600000000002183,16,19,70,68,0.050691244239457506,0.2595573440644109,1,-1,0.04900002479553223,0.0,0.8918918918918919,0.7297297297297297,0.6216216216216216,0.1,0.900709219858156,0.6879432624113475,0.5886524822695035,0.13392857142857142,-0.3400000000001455,-0.010000000000218279,1790270168.463,,
recent24h:500ms:whole,Candidate-J,TAKE_DELAYED,1790270166.463,1790270167.465,PRIMARY,1,SELL,-1,HEALTHY_TREND,0.5650000000005093,1.9899999999997817,1.1500000000014552,0.5850000000009459,4.704999999999927,2.7150000000001455,15,15,75,69,0.3256484149854337,0.26819407008083046,0,1,0.0,0.4029998779296875,1.0,0.75,0.75,0.14285714285714285,0.9115646258503401,0.6870748299319728,0.5986394557823129,0.14042553191489363,0.0500000000001819,-0.1000000000003638,1790270168.463,HEALTHY_PULLBACK,1.001999855041504
recent24h:500ms:whole,Candidate-J,TAKE_IMMEDIATE,1790270870.484,1790270870.484,SECONDARY,2,BUY,1,HEALTHY_TREND,1.2650000000003274,2.300000000000182,1.549999999998363,0.2849999999980355,4.514999999996689,2.2149999999965075,16,10,76,63,0.6893732970042563,0.3417533432395998,0,1,0.0,0.10800004005432129,0.8518518518518519,0.7777777777777778,0.6296296296296297,0.045454545454545456,0.8368794326241135,0.8652482269503546,0.7021276595744681,-0.016666666666666666,-0.06999999999879947,9.094947017729282e-13,,,
recent24h:500ms:whole,Candidate-J,TAKE_UNCHANGED,1790271044.474,1790271044.474,BURST,4,SELL,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recent24h:500ms:whole,Candidate-J,TAKE_UNCHANGED,1790271091.9740002,1790271091.9740002,MICRO,3,SELL,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recent24h:500ms:whole,Candidate-J,WAIT,1790271201.909,1790271201.909,PRIMARY,1,SELL,-1,HEALTHY_PULLBACK,-0.2649999999994179,1.2000000000007276,0.3400000000001455,0.6049999999995634,2.755000000003747,1.5550000000030195,6,13,47,47,0.28042328042275083,0.27842227378163426,0,1,0.0,0.1379997730255127,0.8636363636363636,0.9090909090909091,0.7727272727272727,-0.02564102564102564,0.7731958762886598,0.8247422680412371,0.5979381443298969,-0.03225806451612903,-0.18999999999959982,-0.08000000000083674,1790271203.909,,
