interval,window_id,source,source_range_id,start_ts,end_ts,candidate_d_pnl,candidate_e_pnl,candidate_d_trades,candidate_e_trades,candidate_d_wins,candidate_e_wins,candidate_e_primary_veto_ticks
1s,22,historical7d,364,1789743417.7340002,1789757816.999,-2.759491305122716,-3.0672293130343142,15,15,7,7,1
1s,23,recent24h,0,1790189950.881,1790204349.992,-27.861680295516123,-27.536109470395502,8,8,2,2,1
1s,24,historical7d,153,1789656173.977,1789670573.62,31.18915301921001,30.823245298580193,17,17,8,8,3
1s,25,recent24h,0,1790189973.9689999,1790204372.865,-27.861680295516123,-27.536109470395502,8,8,2,2,1
1s,26,historical7d,153,1789659580.952,1789673979.36,-35.68432341520869,-36.38263791692698,13,13,4,4,4
1s,27,recent24h,0,1790189960.8019998,1790204359.8620002,-27.861680295516123,-27.536109470395502,8,8,2,2,1
1s,28,historical7d,0,1789581246.98,1789595645.9859998,112.92337096589006,97.4558217252295,19,19,8,8,2
1s,29,recent24h,0,1790189996.993,1790204395.742,-27.861680295516123,-27.536109470395502,8,8,2,2,1
1s,30,historical7d,0,1789582234.928,1789596633.936,82.97983871513975,68.26793541892755,21,21,8,8,2
1s,31,recent24h,0,1790189972.968,1790204371.9129999,-27.861680295516123,-27.536109470395502,8,8,2,2,1
1s,32,historical7d,364,1789753022.951,1789767422.375,10.988054746574676,10.988054746574676,7,7,3,3,0
1s,33,recent24h,0,1790189996.993,1790204395.742,-27.861680295516123,-27.536109470395502,8,8,2,2,1
1s,34,historical7d,153,1789653997.9550002,1789668396.968,101.43678393460743,101.06777366061237,18,18,9,9,2
1s,35,recent24h,0,1790189947.777,1790204346.789,-27.861680295516123,-27.536109470395502,8,8,2,2,1
1s,36,historical7d,364,1789745539.714,1789759938.983,-1.9774190370912805,-2.2856410630134754,11,11,5,5,1
1s,37,recent24h,0,1790189944.922,1790204343.633,-27.861680295516123,-27.536109470395502,8,8,2,2,1
1s,38,historical7d,364,1789741845.977,1789756243.0579998,9.974756484777231,9.659137357008035,13,13,7,7,1
1s,39,recent24h,0,1790189931.555,1790204329.368,-27.861680295516123,-27.536109470395502,8,8,2,2,1
