trade_id,interval,segment_id,split,engine,side,side_sign,entry_ts,exit_ts,hold_sec,entry_oz,pnl_inr,mfe_usd,mae_usd,exit_reason,window,range60_rel,spread_rel,activity_rel,er60,spread_to_range,dir_m10_rel,dir_m30_rel,dir_m60_rel,dir_m300_rel,dir_eff60,flow_align10,flow_align60,accel_10_60,accel_30_300,short_long_balance,pullback60,pullback300,market_heat,execution_heat,session_age_sec
500ms-seed-10,500ms,0,seed,PRIMARY,SELL,-1,1790240145.9169998,1790240417.971,272.05400013923645,0.03706193630688182,-3.369559877902448,2.3099999999994907,-0.9499999999998181,momentum_zero_cross,recent24h,0.8020969855836515,0.6444444444446241,1.1238095238095238,0.07960014809346458,0.18954248366002582,0.6153846153871986,1.1086142322092327,1.2609970674495876,2.1897810218986486,0.07960014809346458,0.05084745762711865,0.09041095890410959,-0.645612452062389,-1.081166789689416,-0.8633896208759025,0.24509803921558138,0.08081896551723568,0.9014042314178179,0.7242328042330062,1805.6429998874664
500ms-seed-11,500ms,0,seed,PRIMARY,SELL,-1,1790243248.941,1790243458.4819999,209.54099988937378,0.03679787001069533,-8.980165260654582,0.0,-2.7899999999999636,momentum_zero_cross,recent24h,1.19826338639691,0.875,0.907563025210084,0.06477876106191695,0.13526570048292835,-0.1818181818173228,1.1538461538479476,1.1296296296314179,2.4499054820410184,0.06477876106191695,0.15384615384615385,0.04819277108433735,-1.3114478114487407,-1.2960593281930708,-1.3037535698209057,0.19082125603836186,0.07677356656940007,1.0874995439568595,0.7941176470588235,4908.667000055313
500ms-seed-12,500ms,0,seed,PRIMARY,BUY,1,1790244962.46,1790245088.685,126.22499990463257,0.03609411074674074,-4.801452252574094,1.889999999999418,-1.4700000000002547,momentum_zero_cross,recent24h,1.6543574593801542,0.9333333333349502,1.2678571428571428,0.10775862068964052,0.10000000000019489,5.534482758623015,2.528301886791339,1.7045454545452432,2.0210843373498597,0.10775862068964052,0.29577464788732394,0.0,3.8299373040777716,0.5072175494414792,2.168577426759625,0.08214285714299403,0.05162738496082529,2.097488921714124,1.1833333333353833,6622.186000108719
500ms-seed-13,500ms,0,seed,PRIMARY,BUY,1,1790245996.197,1790246066.9980001,70.80100011825562,0.03571782964220587,-14.356739477648158,0.36999999999989086,-4.200000000000728,emergency_stop,recent24h,1.2608695652175728,0.9333333333349502,0.9310344827586207,0.15711645101653443,0.10727969348681701,1.0518518518529696,2.48797250859174,2.5602409638542434,1.536491677336848,0.15711645101653443,0.34615384615384615,0.11888111888111888,-1.5083891120012738,0.9514808312548919,-0.27845414037319094,0.06704980842917352,0.03846153846156922,1.1739130434784297,0.8689655172428846,7655.923000097275
500ms-seed-14,500ms,0,seed,MICRO,BUY,1,1790247697.938,1790247997.4,299.46200013160706,0.03459271800847619,-2.5491587337530675,1.839999999999236,-2.2100000000000364,momentum_zero_cross,recent24h,1.614890885751383,0.9000000000022738,1.8407079646017699,0.07794871794871609,0.08585055643891863,7.209876543214589,3.640624999998024,3.2226148409904076,1.7662007623892317,0.07794871794871609,0.08737864077669903,-0.033003300330033,3.9872617022241816,1.874424237608792,2.930842969916486,0.0031796502385427316,0.001362397820193199,2.9725425153653777,1.6566371681457783,536.4739999771118
500ms-seed-15,500ms,0,seed,PRIMARY,SELL,-1,1790248961.94,1790249518.46,556.5199999809265,0.034392945061977126,-13.85711845466281,5.960000000000036,-4.210000000000036,emergency_stop,recent24h,1.1825902335455767,1.0344827586183105,1.3037974683544304,0.03609218727349867,0.10771992818645891,1.8871794871771719,-1.3356890459351602,1.44767441860431,1.7957244655580582,0.03609218727349867,0.1650485436893204,0.07602339181286549,0.43950506857286187,-3.1314135114932187,-1.3459542214601783,0.39138240574513555,0.18373983739837543,1.5418581525973976,1.3487560017428606,1800.476000070572
500ms-seed-16,500ms,0,seed,MICRO,BUY,1,1790249523.4659998,1790249568.963,45.497000217437744,0.03330698782164519,-4.526319124472568,0.0,-2.649999999999636,stagnation,recent24h,2.109712230215252,0.830769230771039,1.0971428571428572,0.22756472649396112,0.046035805626674614,3.7511961722453475,2.4303030303012565,5.6201923076943325,4.057435897435659,0.22756472649396112,0.19148936170212766,0.1337099811676083,-1.868996135448985,-1.6271328671344025,-1.7480645012916938,0.0034100596761188922,0.0018115942029379507,2.3146557040075906,0.9114725274745115,2362.0019998550415
500ms-seed-17,500ms,0,seed,BURST,BUY,1,1790251280.4329998,1790251318.485,38.05200004577637,0.03295226840134465,-0.15768006428918996,2.1599999999998545,-0.27000000000043656,momentum_zero_cross,recent24h,2.4226254002137884,0.7878787878796231,1.5342465753424657,0.13886925795053495,0.04581497797360528,5.310344827580151,3.6859504132238112,4.504297994269956,0.6865148861649504,0.13886925795053495,0.2909090909090909,0.17829457364341086,0.8060468333101944,2.9994355270588606,1.9027411801845275,0.00792951541851477,0.00792951541851477,3.716904723615675,1.2088003320892846,4118.968999862671
500ms-seed-18,500ms,0,seed,PRIMARY,SELL,-1,1790253075.855,1790253135.485,59.62999987602234,0.0329399113006941,-12.798819862276432,0.06000000000040018,-4.059999999999491,emergency_stop,recent24h,1.2264736297822776,0.8235294117636044,1.2444444444444445,0.06009003718925085,0.09443507588526728,3.538461538458061,1.9737704918027,1.1717557251907775,3.3540372670818064,0.06009003718925085,0.23809523809523808,0.0746987951807229,2.3667058132672834,-1.3802667752791065,0.49321951899408845,0.34232715008451564,0.12569659442728795,1.5262782948401676,1.0248366013058188,5914.391000032425
500ms-evaluation-0,500ms,1,evaluation,BURST,BUY,1,1790256394.957,1790256424.496,29.539000034332275,0.039184093139022026,-6.450000000000955,0.0,-1.8299999999999272,momentum_zero_cross,recent24h,2.284090909091346,0.7941176470597676,1.5555555555555556,0.08611326609777196,0.05373134328366313,5.935064935061193,6.96713615022977,2.540045766590648,0.09703504043135143,0.08611326609777196,0.22448979591836735,0.029982363315696647,3.3950191684705446,6.870101109798418,5.1325601391344815,0.007960199005148013,0.10099188458062673,3.553030303030983,1.2352941176485275,1761.9850001335144
